classification,class_id,class_name,class_order,model_id,fit_mode,region,n_galaxies,n_failures,median_loss,mean_loss,median_rms_kms,mean_rms_kms
detailed,10,Im,10,B_nfw,inner,outer,18,0,1.2473011261151852,5.381883324034997,3.227379656131613,4.067915993393992
detailed,10,Im,10,C_core,full,all,30,0,0.2358493643944017,0.6402338424984723,1.5140242345325057,1.5919890814314535
detailed,10,Im,10,C_core,inner,outer,18,0,2.326877290550751,7.05446930038519,5.646190392325906,4.982585806662566
detailed,10,Im,10,C_nfw,full,all,30,0,0.43614935146743705,1.4048278071482436,2.2681608103388546,2.488614279205284
detailed,10,Im,10,C_nfw,inner,outer,18,0,1.2473011261151852,5.381883324034997,3.227379656131613,4.067915993393992
detailed,11,BCD,11,A_core,full,all,2,0,0.5465925499548596,0.5465925499548596,4.639079187916692,4.639079187916692
detailed,11,BCD,11,A_core,inner,outer,1,0,5.694101273358399,5.694101273358399,14.08406477383117,14.08406477383117
detailed,11,BCD,11,A_nfw,full,all,2,0,0.9539264574179372,0.9539264574179372,7.771906182471373,7.771906182471373
detailed,11,BCD,11,A_nfw,inner,outer,1,0,0.061849299541748726,0.061849299541748726,1.5841801748815763,1.5841801748815763
detailed,11,BCD,11,B_core,full,all,2,0,0.5385866992849825,0.5385866992849825,4.545546302158286,4.545546302158286
detailed,11,BCD,11,B_core,inner,outer,1,0,5.866557488673032,5.866557488673032,14.300655560261614,14.300655560261614
detailed,11,BCD,11,B_nfw,full,all,2,0,0.9113451065387226,0.9113451065387226,7.49204021376786,7.49204021376786
detailed,11,BCD,11,B_nfw,inner,outer,1,0,0.07146935079341347,0.07146935079341347,1.668238720559109,1.668238720559109
detailed,11,BCD,11,C_core,full,all,2,0,0.508789107651466,0.508789107651466,4.438236043782845,4.438236043782845
detailed,11,BCD,11,C_core,inner,outer,1,0,5.511385320184153,5.511385320184153,13.851479918348414,13.851479918348414
detailed,11,BCD,11,C_nfw,full,all,2,0,0.9113451065387226,0.9113451065387226,7.49204021376786,7.49204021376786
detailed,11,BCD,11,C_nfw,inner,outer,1,0,0.07146935079341347,0.07146935079341347,1.668238720559109,1.668238720559109
broad,0,S0,0,A_core,full,all,3,0,18.823146564950896,14.132750556126133,18.582080694494767,22.812129988792304
broad,0,S0,0,A_core,inner,outer,2,0,230.9207545722562,230.9207545722562,44.500310083701024,44.500310083701024
broad,0,S0,0,A_nfw,full,all,3,0,0.9083338848362317,1.8382836505921754,10.614333368291508,10.429458904322788
broad,0,S0,0,A_nfw,inner,outer,2,0,3.1699503969655645,3.1699503969655645,11.483418958190674,11.483418958190674
broad,0,S0,0,B_core,full,all,3,0,2.493788808624085,2.3430449255046706,10.113992249848467,10.766315918743222
broad,0,S0,0,B_core,inner,outer,2,0,20.766066551038243,20.766066551038243,23.733305355699386,23.733305355699386
broad,0,S0,0,B_nfw,full,all,3,0,0.6409581776566385,1.543999433643303,10.519677649416531,10.44192641956891
broad,0,S0,0,B_nfw,inner,outer,2,0,3.5844153692463823,3.5844153692463823,9.628655205991741,9.628655205991741
broad,0,S0,0,C_core,full,all,3,0,2.4173540936150553,2.280127203207725,10.0707528589793,10.621624874327336
broad,0,S0,0,C_core,inner,outer,2,0,68.27312575068181,68.27312575068181,32.28569711844679,32.28569711844679
broad,0,S0,0,C_nfw,full,all,3,0,0.6409581776566385,1.543999433643303,10.519677649416531,10.44192641956891
broad,0,S0,0,C_nfw,inner,outer,2,0,3.5844153692463823,3.5844153692463823,9.628655205991741,9.628655205991741
broad,1,spirals,1,A_core,full,all,118,0,2.277245380651923,8.97438364345862,8.062699180511915,10.91626672736348
broad,1,spirals,1,A_core,inner,outer,110,0,10.361757095727066,64.8824735872053,15.06868348961447,20.907103196982405
broad,1,spirals,1,A_nfw,full,all,118,0,1.7047701313909163,4.805681478252541,6.45218379435588,8.557493273725086
broad,1,spirals,1,A_nfw,inner,outer,110,0,2.991424499873902,22.720371384439705,7.335618370761086,10.983696229047736
broad,1,spirals,1,B_core,full,all,118,0,0.8977431916929103,2.0921758418212373,5.250287790370136,6.656376573395062
broad,1,spirals,1,B_core,inner,outer,110,0,3.9681562835004494,31.50877040402407,11.220660542960658,15.275171827252837
broad,1,spirals,1,B_nfw,full,all,118,0,1.2422542349140127,2.2010521643516503,4.9804804971982435,6.562869712764043
broad,1,spirals,1,B_nfw,inner,outer,110,0,2.337814430357828,13.457786853427045,5.860113778334959,9.941642985696562
broad,1,spirals,1,C_core,full,all,118,0,0.8734090690679301,2.0100948294151006,5.241690595375851,6.540475844255311
broad,1,spirals,1,C_core,inner,outer,110,0,4.073387384883338,31.895334498199386,11.242423797040512,15.253590466956986
broad,1,spirals,1,C_nfw,full,all,118,0,1.2422542349140127,2.2010521643516503,4.9804804971982435,6.562869712764043
broad,1,spirals,1,C_nfw,inner,outer,110,0,2.337814430357828,13.457786853427045,5.860113778334959,9.941642985696562
broad,2,Im/BCD,2,A_core,full,all,32,0,0.26089938959259973,0.9862059337432743,1.9065999834214642,2.121549252531833
broad,2,Im/BCD,2,A_core,inner,outer,19,0,3.587655002843455,7.679187360803221,6.321007995029627,6.133852834657664
broad,2,Im/BCD,2,A_nfw,full,all,32,0,0.5410822461202149,1.5890272777626495,2.5905592864087685,2.9226003867715735
broad,2,Im/BCD,2,A_nfw,inner,outer,19,0,1.1702625011498873,3.9524180309662427,3.077599908194187,3.7342786275206095
broad,2,Im/BCD,2,B_core,full,all,32,0,0.24818897956850985,0.695570173093887,1.5794367910950564,1.8582692190480306
broad,2,Im/BCD,2,B_core,inner,outer,19,0,2.8600427682733236,7.0823897983080695,6.167484594505731,5.7588014677069115
broad,2,Im/BCD,2,B_nfw,full,all,32,0,0.5186243888702922,1.3739851383601487,2.445851465216445,2.801328400115445
broad,2,Im/BCD,2,B_nfw,inner,outer,19,0,1.1810667846097793,5.102387851759124,3.0737395548630584,3.941617189560578
broad,2,Im/BCD,2,C_core,full,all,32,0,0.2358493643944017,0.6320185465705342,1.5715226604779997,1.7698795165784154
broad,2,Im/BCD,2,C_core,inner,outer,19,0,2.4895115262670724,6.9732543540588185,5.906402232585158,5.449369707277612
broad,2,Im/BCD,2,C_nfw,full,all,32,0,0.5186243888702922,1.3739851383601487,2.445851465216445,2.801328400115445
broad,2,Im/BCD,2,C_nfw,inner,outer,19,0,1.1810667846097793,5.102387851759124,3.0737395548630584,3.941617189560578
