classification,class_id,class_name,class_order,model_id,fit_mode,region,n_galaxies,n_failures,n_signed_defined,median_signed_standardized,mean_signed_standardized,median_signed_kms,mean_signed_kms,median_loss,mean_loss
detailed,9,Sm,9,B_nfw,full,outer_third,21,0,21,0.28894123876733313,0.12056908328448467,0.5443043685563425,0.3326462037325458,0.5411563340922793,1.2171194235970209
detailed,9,Sm,9,B_nfw,inner,withheld_outer,18,0,18,1.3243540235966593,1.0888880071020388,3.3284356637950125,2.966527392078872,4.271660594884773,9.706308966649965
detailed,9,Sm,9,C_core,full,inner_third,21,0,21,-0.3684774835135094,-0.26849569958640046,-1.362707126693133,-0.8493661756975842,0.5145700421629937,0.8072860404205722
detailed,9,Sm,9,C_core,full,middle_third,21,0,21,0.26923663806786047,0.16011918540535325,0.5860361490870698,0.3279645120859706,0.241127086740362,0.5289491531545056
detailed,9,Sm,9,C_core,full,outer_third,21,0,21,-0.18311581032327828,-0.2556256720363252,-0.6200349614942668,-0.6912516668476869,0.2839699229964982,0.5999258603154709
detailed,9,Sm,9,C_core,inner,withheld_outer,18,0,18,-1.1007970310621276,-2.6491325756059414,-4.01090464305506,-4.889993122599115,3.320361352022913,25.69588360637444
detailed,9,Sm,9,C_nfw,full,inner_third,21,0,21,0.6981999158094142,0.8334924172514638,1.901775592067145,2.1684207977659575,1.5170057874318224,5.301374846053195
detailed,9,Sm,9,C_nfw,full,middle_third,21,0,21,-0.6815588367408525,-0.7808516800745954,-1.8347945260356375,-2.2138448665569075,0.6543544181374246,1.6052365285276164
detailed,9,Sm,9,C_nfw,full,outer_third,21,0,21,0.28894123876733313,0.12056908328448467,0.5443043685563425,0.3326462037325458,0.5411563340922793,1.2171194235970209
detailed,9,Sm,9,C_nfw,inner,withheld_outer,18,0,18,1.3243540235966593,1.0888880071020388,3.3284356637950125,2.966527392078872,4.271660594884773,9.706308966649965
detailed,10,Im,10,A_core,full,inner_third,30,0,30,-0.16778180771799026,-0.29836966269331533,-0.5581772513190949,-0.7349070584530497,0.29937249954593514,1.3919316434730868
