galaxy,model_id,fit_mode,region,n_rows,failed,chi2,loss,rms_kms,signed_kms,signed_standardized,halo_bound_hit,eta_bound_hit,nuisance_bound_hit,guard_active,optimizer_success,eta
UGC06446,B_nfw,full,all,17,False,3.209866921794539,0.1888157012820317,2.4865388317093533,0.42470492892618134,0.04013513941256323,False,False,False,False,True,
UGC06614,B_nfw,full,all,13,False,1.8801319813955781,0.14462553703042907,5.411304668405679,0.09873193562423065,0.017227948307981168,False,False,False,False,True,
UGC06667,B_nfw,full,all,9,False,9.11039699654551,1.0122663329495012,3.7166529787831246,0.4897980408491386,0.10153191230218502,False,False,False,False,True,
UGC06786,B_nfw,full,all,45,False,26.919595247256467,0.5982132277168104,10.519677649416531,-1.5189363798084288,0.012112404369034432,False,False,False,False,True,
UGC06787,B_nfw,full,all,71,False,1151.272119764511,16.215100278373395,16.21747394616123,-2.2791957242176824,0.1897790298452495,True,False,False,False,True,
UGC06818,B_nfw,full,all,8,False,17.310227721983658,2.1637784652479573,7.211954953958212,0.8764585814048762,0.24800485638733138,True,False,False,False,True,
UGC06917,B_nfw,full,all,11,False,6.973631306828952,0.6339664824389956,3.065312808676358,0.1142126453349603,0.03668439764549217,False,False,False,False,True,
UGC06923,B_nfw,full,all,6,False,3.669143659625686,0.6115239432709477,4.45025626785935,1.6476655408840404,0.1863970279551815,False,False,False,False,True,
UGC06930,B_nfw,full,all,10,False,2.1858159042071166,0.21858159042071165,3.6935666583890563,0.5631250385245068,0.05035556884241303,False,False,False,False,True,
UGC06983,B_nfw,full,all,17,False,8.903555007328684,0.5237385298428637,4.666624976506344,1.1995431965579528,0.10494196997607096,False,False,False,False,True,
UGC07089,B_nfw,full,all,12,False,2.341120271554231,0.1950933559628526,2.1505519443377206,0.07729048331895605,0.06468967596778723,True,False,False,False,True,
UGC07125,B_nfw,full,all,13,False,6.677882722970964,0.5136832863823819,2.0832362994104057,0.688848616395525,0.15676051440359481,False,False,True,False,True,
UGC07151,B_nfw,full,all,11,False,21.650304479144634,1.9682094981040577,3.248888479913403,0.617446365599897,0.17619247879254168,False,False,True,False,True,
UGC07232,B_nfw,full,all,4,False,4.591456750133497,1.1478641875333742,3.535567988631875,0.8132545986154414,0.24644078745922476,True,False,False,False,True,
UGC07261,B_nfw,full,all,7,False,0.20641744608508827,0.029488206583584038,0.9719425861793818,-0.02623670772896247,-0.004635460729498671,False,False,False,False,True,
UGC07323,B_nfw,full,all,10,False,5.120325254044122,0.5120325254044122,2.769234538591728,0.621036990595972,0.1604746745726026,True,False,False,False,True,
UGC07399,B_nfw,full,all,10,False,8.013306412844141,0.8013306412844141,2.463049793672518,0.390233461900948,0.09711522886534063,False,False,False,False,True,
UGC07524,B_nfw,full,all,31,False,23.04970002948419,0.7435387106285222,2.86305461350303,-0.07538723691644873,0.04267548245581653,False,False,False,False,True,
UGC07559,B_nfw,full,all,7,False,2.0942744591647036,0.29918206559495764,1.7667304752410975,0.3736076651469225,0.11566800778542492,True,False,False,False,True,
UGC07577,B_nfw,full,all,9,False,1.3310648079511118,0.14789608977234575,1.2190951630259736,0.1511319999059274,0.04767570974950391,True,False,False,False,True,
UGC07603,B_nfw,full,all,12,False,14.9413171912555,1.2451097659379584,3.2247916639824075,0.346381305220888,0.11985512291380207,False,False,False,False,True,
UGC07690,B_nfw,full,all,7,False,1.6765981083031043,0.23951401547187204,2.109321289611197,0.07128337138403092,0.01653906528631809,False,False,False,False,True,
