galaxy,model,n_outer,loss,rms,pipeline_failure,invalid_outer_rows
UGC05716,profiled_baryons,3,52.541846410217026,9.248316421288793,False,0
UGC05721,profiled_baryons,5,24.45755265993821,22.600742057453413,False,0
UGC05750,profiled_baryons,3,1.263866124407648,12.450784007874754,False,0
UGC05764,profiled_baryons,2,0.11919130699698334,0.9513895112541451,False,0
UGC05829,profiled_baryons,3,0.9357195913426208,4.894669562789701,False,0
UGC05918,profiled_baryons,2,0.49193857862830803,2.756436495378835,False,0
UGC05986,profiled_baryons,3,24.413115795070468,22.90085552387084,False,0
UGC06399,profiled_baryons,2,7.367529243743678,13.300164553203308,False,0
UGC06446,profiled_baryons,4,1.6124074073113535,8.057933623125352,False,0
UGC06614,profiled_baryons,3,16.61012188578299,66.21490090066388,False,0
UGC06667,profiled_baryons,2,84.97175503904117,29.304604873902807,False,0
UGC06786,profiled_baryons,9,1066.0748224781796,70.90388792770194,False,0
UGC06787,profiled_baryons,15,683.0655019080208,73.90351555285169,False,0
UGC06818,profiled_baryons,2,19.738247024655408,26.656648193041725,False,0
UGC06917,profiled_baryons,3,9.792523966686772,15.489698118139572,False,0
UGC06930,profiled_baryons,2,3.5314605939635726,13.906213795474498,False,0
UGC06983,profiled_baryons,4,3.6712115993336853,19.641528643587176,False,0
UGC07089,profiled_baryons,3,6.715714920518356,17.005360862843855,False,0
UGC07125,profiled_baryons,3,1.0648727177654131,3.586672290679809,False,0
UGC07151,profiled_baryons,3,4.900682744391898,7.184470199459828,False,0
UGC07323,profiled_baryons,2,3.365264630785245,7.09938249771116,False,0
UGC07399,profiled_baryons,2,21.328962884751455,22.657732303669448,False,0
UGC07524,profiled_baryons,7,0.2558746248498868,1.6693571674576864,False,0
UGC07577,profiled_baryons,2,1.6884413543652002,4.119099212920279,False,0
UGC07603,profiled_baryons,3,43.5732568300038,19.076902221531533,False,0
UGC08286,profiled_baryons,4,240.92775579159178,31.113888944577546,False,0
UGC08490,profiled_baryons,6,42.95740643260848,24.18496106523722,False,0
UGC08550,profiled_baryons,3,34.95498854474268,12.38432748338914,False,0
UGC08699,profiled_baryons,9,64.40889233557535,43.40033056764434,False,0
UGC08837,profiled_baryons,2,17.002933717589556,12.65934542731283,False,0
UGC09037,profiled_baryons,5,7.967693788652258,29.674759521064473,False,0
UGC09133,profiled_baryons,14,937.0691976727678,60.785946608618616,False,0
UGC11455,profiled_baryons,8,107.3952024107661,65.91583621198716,False,0
UGC11557,profiled_baryons,3,2.6674955514824426,10.942754466131772,False,0
UGC11820,profiled_baryons,2,83.47127266433776,9.572822322599254,False,0
UGC11914,profiled_baryons,13,69.94127583528392,23.916432383274955,False,0
UGC12506,profiled_baryons,7,4.9633942792351835,29.958251978133568,False,0
UGC12632,profiled_baryons,3,0.25902922733053546,1.5008242418497924,False,0
