galaxy,point_index,radius_kpc,radius_fraction_of_last,comparator,z_envelope,z_comparator,delta_squared,delta_absolute,delta_absolute_kms,comparison_valid,comparator_fit_failed
UGC09133,66,99.69,0.9204136275505493,scalar_core,3.2855702573564525,5.005232228331116,-14.257377743499125,-1.7196619709746637,-4.815053518729058,True,False
UGC09133,67,108.31,1.0,scalar_core,0.6411701486143853,1.7856623683705248,-2.777490934340439,-1.1444922197561396,-4.7153079453952955,True,False
UGC11455,28,27.06,0.6453613164798473,scalar_core,1.3096834740314276,-0.842041853566026,1.0062363189941204,0.4676416204654016,3.3249319215090054,True,False
UGC11455,29,29.13,0.694729310756022,scalar_core,-0.3275407323698475,-3.8463092638205514,-14.686812021590416,-3.518768531450704,-18.860599328575773,True,False
UGC11455,30,31.3,0.7464822322919151,scalar_core,-1.5721684248128152,-5.448225347503938,-27.211445881206004,-3.8760569226911232,-22.403609013154693,True,False
UGC11455,31,33.46,0.7979966611018364,scalar_core,0.33004930905336566,-4.083825219033729,-16.568695873209283,-3.753775909980363,-21.80943803698591,True,False
UGC11455,32,35.53,0.847364655378011,scalar_core,-2.3652700425016513,-6.6549162771574135,-38.69340828201893,-4.289646234655763,-28.697733309847052,True,False
UGC11455,33,37.7,0.8991175769139041,scalar_core,-3.5282681648420184,-8.494944417507005,-59.71540441349576,-4.966676252664987,-31.737061254529266,True,False
UGC11455,34,39.87,0.9508704984497972,scalar_core,-4.2237412149976405,-10.376359778083645,-89.82885239296232,-6.152618563086004,-34.393137767650764,True,False
UGC11455,35,41.93,1.0,scalar_core,-2.345680251248545,-6.518555477333595,-36.989349669978374,-4.172875226085051,-36.80475949407015,True,False
UGC11557,9,7.04,0.6666666666666666,scalar_core,2.8380587658018537,2.8380587658139436,-6.862421741971048e-11,-1.2089884648958105e-11,-8.100222714801931e-11,True,False
UGC11557,10,8.8,0.8333333333333334,scalar_core,5.284672587454981,5.284672587470654,-1.6565238070143096e-10,-1.567279639402841e-11,-1.0500773583999034e-10,True,False
UGC11557,11,10.56,1.0,scalar_core,7.698279591850906,7.698279591870305,-2.986766389767581e-10,-1.9398704864670435e-11,-1.2997132259329193e-10,True,False
UGC11820,8,13.14,0.8305941845764855,scalar_core,-7.003129335045929,-10.335937285808246,-57.78777909278028,-3.3328079507623167,-2.432949804056491,True,False
UGC11820,9,15.82,1.0,scalar_core,-6.798843102475241,-10.198145102175097,-57.77789599294275,-3.3993019996998557,-4.453085619606811,True,False
UGC11914,52,5.89,0.5991861648016277,scalar_core,-0.5804911248000576,-0.6519969777349892,-0.08813011300392398,-0.07150585293493161,-0.3546690305572608,True,False
UGC11914,53,5.98,0.6083418107833164,scalar_core,-0.6452115590839773,-0.7123138008777548,-0.09109299494533696,-0.06710224179377744,-0.36033903843258486,True,False
UGC11914,54,6.08,0.6185147507629705,scalar_core,-0.3753093127792278,-0.4086328217905217,-0.026123702785668,-0.033323509011293884,-0.3665585991242327,True,False
UGC11914,55,6.15,0.6256358087487284,scalar_core,-3.998199169520801,-4.323468211897694,-2.7067807801330215,-0.32526904237689314,-0.3708067083096581,True,False
UGC11914,56,6.17,0.6276703967446592,scalar_core,-0.2698348147010072,-0.29133740068693975,-0.0120666538142956,-0.021502585985932576,-0.3719947375566336,True,False
UGC11914,57,6.26,0.6368260427263479,scalar_core,-0.6576499232189248,-0.7051775888841487,-0.06477201035460384,-0.04752766566522393,-0.377369665381878,True,False
UGC11914,58,6.35,0.6459816887080366,scalar_core,-0.3164259239115493,-0.3373378696597084,-0.013671472983272842,-0.020911945748159133,-0.38268860719131215,True,False
UGC11914,59,6.73,0.6846388606307223,scalar_core,-0.8883625055807984,-0.9268915074808914,-0.06993992531840532,-0.03852900190009301,-0.4045545199509766,True,False
UGC11914,60,6.83,0.6948118006103764,scalar_core,-1.0743969839610814,-1.1181771869489188,-0.09599134226832895,-0.04378020298783736,-0.410220501996036,True,False
UGC11914,61,6.92,0.7039674465920651,scalar_core,-0.9114530861228111,-0.9436465748450165,-0.05972213001393478,-0.0321934887222054,-0.41529600451644966,True,False
UGC11914,62,7.37,0.7497456765005086,scalar_core,-14.923639086647206,-15.27875819415564,-10.725448366973865,-0.35511910750843434,-0.4403476933104586,True,False
UGC11914,63,8.599999999999998,0.8748728382502541,scalar_core,-18.998333844442726,-19.237247616867744,-9.135007007785816,-0.23891377242501832,-0.508886335265289,True,False
UGC11914,64,9.83,1.0,scalar_core,-12.464325879986045,-12.578355050467035,-2.8555961331196613,-0.1140291704809897,-0.5781278943386179,True,False
UGC12506,24,40.16,0.8033606721344267,scalar_core,0.33897380481684286,0.44135140176154997,-0.079887819484878,-0.1023775969447071,-2.3546847297282634,True,False
UGC12506,25,41.8,0.8361672334466892,scalar_core,1.255541019563708,1.4465492147895742,-0.516121379001258,-0.1910081952258662,-2.674114733162127,True,False
UGC12506,26,43.44,0.8689737947589518,scalar_core,0.845274496154583,1.021270500841907,-0.3285044620404953,-0.1759960046873239,-2.9743324792157737,True,False
UGC12506,27,45.08,0.9017803560712142,scalar_core,1.2701914506538305,1.507025834891256,-0.6577405457156045,-0.23683438423742542,-3.244631064052728,True,False
UGC12506,28,46.71,0.9343868773754751,scalar_core,1.5462830038311368,1.854492583582078,-1.0481516146238872,-0.3082095797509412,-3.575231125110918,True,False
