tau,z,D_to_reference,ergotropy_over_kBT,ergotropy_sorted_over_kBT,spectral_mismatch
-1.0000000000000000e+00,8.4223808400897396e-02,5.0936466435912243e-02,0.0000000000000000e+00,0.0000000000000000e+00,5.0936466435912243e-02
-9.8999999999999999e-01,8.4998323782162363e-02,5.0165828993638334e-02,0.0000000000000000e+00,0.0000000000000000e+00,5.0165828993638334e-02
-9.7999999999999998e-01,8.5779294402614198e-02,4.9396578329145471e-02,0.0000000000000000e+00,0.0000000000000000e+00,4.9396578329145471e-02
-9.6999999999999997e-01,8.6566761763800987e-02,4.8628803083241572e-02,0.0000000000000000e+00,0.0000000000000000e+00,4.8628803083241572e-02
-9.5999999999999996e-01,8.7360767405550127e-02,4.7862593104838508e-02,0.0000000000000000e+00,0.0000000000000000e+00,4.7862593104838508e-02
-9.4999999999999996e-01,8.8161352901099180e-02,4.7098039457130390e-02,0.0000000000000000e+00,0.0000000000000000e+00,4.7098039457130390e-02
-9.3999999999999995e-01,8.8968559852129689e-02,4.6335234423626893e-02,0.0000000000000000e+00,0.0000000000000000e+00,4.6335234423626893e-02
-9.2999999999999994e-01,8.9782429883702095e-02,4.5574271514022748e-02,0.0000000000000000e+00,0.0000000000000000e+00,4.5574271514022748e-02
-9.1999999999999993e-01,9.0603004639091891e-02,4.4815245469912404e-02,0.0000000000000000e+00,0.0000000000000000e+00,4.4815245469912404e-02
-9.0999999999999992e-01,9.1430325774525659e-02,4.4058252270333081e-02,0.0000000000000000e+00,0.0000000000000000e+00,4.4058252270333081e-02
-8.9999999999999991e-01,9.2264434953816823e-02,4.3303389137138583e-02,0.0000000000000000e+00,0.0000000000000000e+00,4.3303389137138583e-02
-8.8999999999999990e-01,9.3105373842900171e-02,4.2550754540193830e-02,0.0000000000000000e+00,0.0000000000000000e+00,4.2550754540193830e-02
-8.7999999999999989e-01,9.3953184104264703e-02,4.1800448202387319e-02,0.0000000000000000e+00,0.0000000000000000e+00,4.1800448202387319e-02
-8.6999999999999988e-01,9.4807907391283530e-02,4.1052571104452575e-02,0.0000000000000000e+00,0.0000000000000000e+00,4.1052571104452575e-02
-8.5999999999999988e-01,9.5669585342441438e-02,4.0307225489598808e-02,0.0000000000000000e+00,0.0000000000000000e+00,4.0307225489598808e-02
-8.4999999999999987e-01,9.6538259575458391e-02,3.9564514867938279e-02,0.0000000000000000e+00,0.0000000000000000e+00,3.9564514867938279e-02
-8.3999999999999986e-01,9.7413971681309067e-02,3.8824544020710089e-02,0.0000000000000000e+00,0.0000000000000000e+00,3.8824544020710089e-02
-8.3000000000000007e-01,9.8296763218137448e-02,3.8087419004290413e-02,0.0000000000000000e+00,0.0000000000000000e+00,3.8087419004290413e-02
-8.2000000000000006e-01,9.9186675705066688e-02,3.7353247153986774e-02,0.0000000000000000e+00,0.0000000000000000e+00,3.7353247153986774e-02
-8.1000000000000005e-01,1.0008375061590290e-01,3.6622137087609759e-02,0.0000000000000000e+00,0.0000000000000000e+00,3.6622137087609759e-02
-8.0000000000000004e-01,1.0098802937273296e-01,3.5894198708810651e-02,0.0000000000000000e+00,0.0000000000000000e+00,3.5894198708810651e-02
-7.9000000000000004e-01,1.0189955333941624e-01,3.5169543210190578e-02,0.0000000000000000e+00,0.0000000000000000e+00,3.5169543210190578e-02
-7.8000000000000003e-01,1.0281836381496863e-01,3.4448283076162288e-02,0.0000000000000000e+00,0.0000000000000000e+00,3.4448283076162288e-02
-7.7000000000000002e-01,1.0374450202684013e-01,3.3730532085566874e-02,0.0000000000000000e+00,0.0000000000000000e+00,3.3730532085566874e-02
-7.6000000000000001e-01,1.0467800912408448e-01,3.3016405314036178e-02,0.0000000000000000e+00,0.0000000000000000e+00,3.3016405314036178e-02
-7.5000000000000000e-01,1.0561892617042128e-01,3.2306019136095536e-02,0.0000000000000000e+00,0.0000000000000000e+00,3.2306019136095536e-02
-7.3999999999999999e-01,1.0656729413718956e-01,3.1599491226999121e-02,0.0000000000000000e+00,0.0000000000000000e+00,3.1599491226999121e-02
-7.2999999999999998e-01,1.0752315389619360e-01,3.0896940564293741e-02,0.0000000000000000e+00,0.0000000000000000e+00,3.0896940564293741e-02
-7.1999999999999997e-01,1.0848654621244015e-01,3.0198487429101778e-02,0.0000000000000000e+00,0.0000000000000000e+00,3.0198487429101778e-02
-7.0999999999999996e-01,1.0945751173676706e-01,2.9504253407121345e-02,0.0000000000000000e+00,0.0000000000000000e+00,2.9504253407121345e-02
-6.9999999999999996e-01,1.1043609099836296e-01,2.8814361389330689e-02,0.0000000000000000e+00,0.0000000000000000e+00,2.8814361389330689e-02
-6.8999999999999995e-01,1.1142232439717893e-01,2.8128935572399025e-02,0.0000000000000000e+00,0.0000000000000000e+00,2.8128935572399025e-02
-6.7999999999999994e-01,1.1241625219623086e-01,2.7448101458787399e-02,0.0000000000000000e+00,0.0000000000000000e+00,2.7448101458787399e-02
-6.6999999999999993e-01,1.1341791451379341e-01,2.6771985856541058e-02,0.0000000000000000e+00,0.0000000000000000e+00,2.6771985856541058e-02
-6.5999999999999992e-01,1.1442735131548511e-01,2.6100716878763405e-02,0.0000000000000000e+00,0.0000000000000000e+00,2.6100716878763405e-02
-6.4999999999999991e-01,1.1544460240624528e-01,2.5434423942764559e-02,0.0000000000000000e+00,0.0000000000000000e+00,2.5434423942764559e-02
