BKM_distance,sharp_bound,local_distance_squared,symmetric_cycle_direct,asymmetric_cycle_direct,symmetric_z0,symmetric_z1,asymmetric_z0,asymmetric_z1
9.7500000000000003e-02,9.5062511939612328e-03,9.5062500000000008e-03,9.5062511939612571e-03,9.5309979536295497e-03,4.7563465363796115e-01,5.2436534636203891e-01,9.2518351601983506e-01,9.4877530564255019e-01
1.0500000000000000e-01,1.1025001862711022e-02,1.1024999999999998e-02,1.1025001862710937e-02,1.1057907392854061e-02,4.7376205693203405e-01,5.2623794306796590e-01,9.2349765693876629e-01,9.4902303428608270e-01
1.1249999999999999e-01,1.2656252818223841e-02,1.2656249999999997e-02,1.2656252818223690e-02,1.2699124858201571e-02,4.7188982919674910e-01,5.2811017080325084e-01,9.2179458670652281e-01,9.4927019463489770e-01
1.2000000000000000e-01,1.4400004151470813e-02,1.4400000000000000e-02,1.4400004151470913e-02,1.4454879979119095e-02,4.7001799676027767e-01,5.2998200323972222e-01,9.2007437453670915e-01,9.4951678637618231e-01
1.2750000000000000e-01,1.6256255973560799e-02,1.6256250000000000e-02,1.6256255973560840e-02,1.6325411630719655e-02,4.6814658594523273e-01,5.3185341405476716e-01,9.1833709033958610e-01,9.4976280919784417e-01
1.3500000000000001e-01,1.8225008418524188e-02,1.8225000000000002e-02,1.8225008418524147e-02,1.8310967336287121e-02,4.6627562306829817e-01,5.3372437693170183e-01,9.1658280471923004e-01,9.5000826278851058e-01
1.4249999999999999e-01,2.0306261646279813e-02,2.0306249999999998e-02,2.0306261646279800e-02,2.0411802703021120e-02,4.6440513443985820e-01,5.3559486556014180e-01,9.1481158897066350e-01,9.5025314683752959e-01
1.4999999999999999e-01,2.2500015845785769e-02,2.2499999999999999e-02,2.2500015845785981e-02,2.2628180888846661e-02,4.6253514636362875e-01,5.3746485363637120e-01,9.1302351507695811e-01,9.5049746103496968e-01
1.5750000000000000e-01,2.4806271238374682e-02,2.4806250000000002e-02,2.4806271238374755e-02,2.4960372098307815e-02,4.6066568513628614e-01,5.3933431486371375e-01,9.1121865570630789e-01,9.5074120507162097e-01
1.6499999999999998e-01,2.7225028081274392e-02,2.7224999999999992e-02,2.7225028081274361e-02,2.7408653105675640e-02,4.5879677704709804e-01,5.4120322295290191e-01,9.0939708420907772e-01,9.5098437863899454e-01
1.7249999999999999e-01,2.9756286671314691e-02,2.9756249999999995e-02,2.9756286671314469e-02,2.9973306803569910e-02,4.5692844837755386e-01,5.4307155162244602e-01,9.0755887461482065e-01,9.5122698142932416e-01
1.7999999999999999e-01,3.2400047348820994e-02,3.2399999999999998e-02,3.2400047348820959e-02,3.2654621775500381e-02,4.5506072540099435e-01,5.4493927459900549e-01,9.0570410162927051e-01,9.5146901313556576e-01
1.8750000000000000e-01,3.5156310501695959e-02,3.5156250000000000e-02,3.5156310501695875e-02,3.5452891890847660e-02,4.5319363438224347e-01,5.4680636561775642e-01,9.0383284063130576e-01,9.5171047345139770e-01
1.9500000000000001e-01,3.8025076569689752e-02,3.8025000000000003e-02,3.8025076569689564e-02,3.8368415920923660e-02,4.5132720157723777e-01,5.4867279842276218e-01,9.0194516766988486e-01,9.5195136207122200e-01
2.0249999999999999e-01,4.1006346048860130e-02,4.1006249999999994e-02,4.1006346048860109e-02,4.1401497174830659e-02,4.4946145323265768e-01,5.5053854676734226e-01,9.0004115946095709e-01,9.5219167869016408e-01
2.0999999999999999e-01,4.4100119496223444e-02,4.4099999999999993e-02,4.4100119496223167e-02,4.4552443153937471e-02,4.4759641558555874e-01,5.5240358441444126e-01,8.9812089338434420e-01,9.5243142300407313e-01
2.1750000000000000e-01,4.7306397534597207e-02,4.7306250000000001e-02,4.7306397534597089e-02,4.7821565223881812e-02,4.4573211486300202e-01,5.5426788513699787e-01,8.9618444748059523e-01,9.5267059470952287e-01
2.2499999999999998e-01,5.0625180857635857e-02,5.0624999999999989e-02,5.0625180857635899e-02,5.1209178303047054e-02,4.4386857728168566e-01,5.5613142271831428e-01,8.9423190044781531e-01,9.5290919350381142e-01
2.3249999999999998e-01,5.4056470235060626e-02,5.4056249999999993e-02,5.4056470235060550e-02,5.4715600566597189e-02,4.4200582904757635e-01,5.5799417095242365e-01,8.9226333163846772e-01,9.5314721908496258e-01
2.3999999999999999e-01,5.7600266518084600e-02,5.7599999999999998e-02,5.7600266518085030e-02,5.8341153165134330e-02,4.4014389635554024e-01,5.5985610364445981e-01,8.9027882105614808e-01,9.5338467115172509e-01
2.4750000000000000e-01,6.1256570645034501e-02,6.1256249999999998e-02,6.1256570645034092e-02,6.2086159957187359e-02,4.3828280538897540e-01,5.6171719461102465e-01,8.8827844935233391e-01,9.5362154940357358e-01
2.5500000000000000e-01,6.5025383647170407e-02,6.5024999999999999e-02,6.5025383647170143e-02,6.5950947254731052e-02,4.3642258231944264e-01,5.6357741768055736e-01,8.8626229782310562e-01,9.5385785354070918e-01
2.6250000000000001e-01,6.8906706654704525e-02,6.8906250000000002e-02,6.8906706654704442e-02,6.9935843581020229e-02,4.3456325330629808e-01,5.6543674669370181e-01,8.8423044840584442e-01,9.5409358326405957e-01
2.7000000000000002e-01,7.2900540903020838e-02,7.2900000000000006e-02,7.2900540903020783e-02,7.4041179440052840e-02,4.3270484449632585e-01,5.6729515550367415e-01,8.8218298367590120e-01,9.5432873827527920e-01
2.7749999999999997e-01,7.7006887739096683e-02,7.7006249999999984e-02,7.7006887739096808e-02,7.8267287097052662e-02,4.3084738202336875e-01,5.6915261797663119e-01,8.8011998684323944e-01,9.5456331827675012e-01
