galaxy,point_index,radius_kpc,observed_kms,sigma_kms,is_outer,is_training,training_edge_kpc,extended,valid_extended,fit_failed_extended,scalar_core,valid_scalar_core,fit_failed_scalar_core,compact_plummer,valid_compact_plummer,fit_failed_compact_plummer,nfw,valid_nfw,fit_failed_nfw,baryon_only,valid_baryon_only,fit_failed_baryon_only,adaptive_primary,valid_adaptive_primary,fit_failed_adaptive_primary,profiled_baryons,valid_profiled_baryons,fit_failed_profiled_baryons
NGC1090,22,28.87,162.0,2.23,True,False,23.89,158.57796032118927,True,False,159.693601882623,True,False,159.26226599516886,True,False,164.03804282168997,True,False,107.24598310027712,True,False,159.69360254360646,True,False,141.89366598066448,True,False
NGC1090,23,30.09,160.0,2.23,True,False,23.89,157.39516539856658,True,False,158.40674389965437,True,False,157.9585427542138,True,False,163.78879539222015,True,False,105.75687070153636,True,False,158.40674456162083,True,False,140.76882972079156,True,False
NGC2403,58,13.91,133.0,3.81,True,False,13.42,121.45183952580943,True,False,121.45183949071472,True,False,121.38792394674154,True,False,128.73207542319102,True,False,72.96955524969587,True,False,121.45183952579806,True,False,95.79505195681467,True,False
NGC2403,59,14.41,133.0,2.56,True,False,13.42,120.01944840084929,True,False,120.0194483661128,True,False,119.95535382991346,True,False,128.46282943536835,True,False,72.00643118529786,True,False,120.01944840083804,True,False,94.37008502957022,True,False
NGC2403,60,14.91,134.0,0.56,True,False,13.42,118.58933227190994,True,False,118.58933223756048,True,False,118.52528378229906,True,False,128.18307684923187,True,False,71.098848888001,True,False,118.5893322718988,True,False,93.02983424259428,True,False
NGC2403,61,15.4,134.0,0.79,True,False,13.42,117.1371374661403,True,False,117.13713743217257,True,False,117.07327536076664,True,False,127.8656675474171,True,False,70.1564024594073,True,False,117.13713746612927,True,False,91.68891727897862,True,False
NGC2403,62,15.9,133.0,0.67,True,False,13.42,115.62493893452506,True,False,115.62493890094689,True,False,115.56138069896512,True,False,127.50720202223908,True,False,69.16022143465787,True,False,115.6249389345142,True,False,90.31171218682168,True,False
NGC2403,63,16.4,134.0,2.35,True,False,13.42,114.10055304824316,True,False,114.10055301505274,True,False,114.03738861103038,True,False,127.1166479093446,True,False,68.14679918695975,True,False,114.10055304823244,True,False,88.95878518252819,True,False
NGC2403,64,16.89,134.0,4.13,True,False,13.42,112.51070626813558,True,False,112.51070623529328,True,False,112.44794014361064,True,False,126.66829178061592,True,False,66.98525128139758,True,False,112.51070626812492,True,False,87.46753222351155,True,False
NGC2403,65,17.39,136.0,3.91,True,False,13.42,110.9686763996152,True,False,110.96867636714296,True,False,110.90640519607356,True,False,126.23842825482905,True,False,65.91830754164006,True,False,110.96867639960467,True,False,86.07400756638106,True,False
NGC2403,66,17.89,136.0,6.38,True,False,13.42,109.40665303948084,True,False,109.40665300736056,True,False,109.34489097700364,True,False,125.77661210870848,True,False,64.7944457109924,True,False,109.40665303947044,True,False,84.64480541224383,True,False
NGC2403,67,18.38,135.0,8.39,True,False,13.42,107.91259352519673,True,False,107.9125934934176,True,False,107.85136118355604,True,False,125.31983726056588,True,False,63.72734904591146,True,False,107.91259352518644,True,False,83.30897345245774,True,False
NGC2403,68,18.88,133.0,7.83,True,False,13.42,106.41270432879804,True,False,106.41270429735746,True,False,106.35202503659606,True,False,124.85350849720638,True,False,62.64815190861023,True,False,106.41270432878784,True,False,81.95303234619281,True,False
NGC2403,69,19.38,134.0,6.26,True,False,13.42,105.12863561130006,True,False,105.12863558024344,True,False,105.06862206700228,True,False,124.48369933162311,True,False,61.900787571302565,True,False,105.12863561129,True,False,80.93317109154344,True,False
NGC2403,70,19.87,136.0,5.6,True,False,13.42,104.08987781914756,True,False,104.08987778851343,True,False,104.03062535627876,True,False,124.21564874721932,True,False,61.50587172641371,True,False,104.08987781913766,True,False,80.28262245044336,True,False
NGC2403,71,20.37,135.0,5.24,True,False,13.42,103.05851720587138,True,False,103.05851717565707,True,False,103.00003515193708,True,False,123.93843004092936,True,False,61.113696268424754,True,False,103.0585172058616,True,False,79.6354996266754,True,False
