galaxy,model,n_outer,valid,loss,rmse_kms
NGC3109,adaptive_primary,5,True,1.3712930848659053,3.673737163628098
NGC3109,baryon_only,5,True,203.60998802885192,44.621572877264185
NGC3109,compact_plummer,5,True,1.6641696250645654,4.046774622380111
NGC3109,extended,5,True,1.5652030013275087,3.925068544897407
NGC3109,nfw,5,True,5.035835746587415,7.017096218559415
NGC3109,profiled_baryons,5,True,112.07932838109056,33.09823343127226
NGC3109,scalar_core,5,True,1.3712930859704517,3.673737165106597
NGC3198,adaptive_primary,9,True,60.47409435213793,18.102257853382532
NGC3198,baryon_only,9,True,1028.0723857734847,69.17295403541102
NGC3198,compact_plummer,9,True,62.925275594084596,18.432928807411777
NGC3198,extended,9,True,59.60787139299053,17.954618327033277
NGC3198,nfw,9,True,3.4084328840015217,3.7046702701734193
NGC3198,profiled_baryons,9,True,564.4220443605864,51.487507264741616
NGC3198,scalar_core,9,True,60.47409418264044,18.102257830297663
NGC3521,adaptive_primary,9,True,2.131940590578337,15.520447022116448
NGC3521,baryon_only,9,True,39.51861677312313,51.43827170103359
NGC3521,compact_plummer,9,True,2.131940590586554,15.52044702213454
NGC3521,extended,9,True,2.131940590586554,15.52044702213454
NGC3521,nfw,9,True,18.679539255845697,34.94518970333633
NGC3521,profiled_baryons,9,True,37.97854609585539,50.178057057040476
NGC3521,scalar_core,9,True,2.1319405905347986,15.520447022020562
NGC3726,adaptive_primary,3,True,2.7659126574198147,19.603820457081753
NGC3726,baryon_only,3,True,41.747327324948905,75.88841513043147
NGC3726,compact_plummer,3,True,2.7659126574198147,19.603820457081753
NGC3726,extended,3,True,2.9203568393119,20.14064846592957
NGC3726,nfw,3,True,0.6496500528630547,8.806953104841492
NGC3726,profiled_baryons,3,True,29.109442719569994,63.593436541097496
NGC3726,scalar_core,3,True,2.7659133290840345,19.60382282038285
NGC3741,adaptive_primary,5,True,8.761499662653392,7.888761234867635
NGC3741,baryon_only,5,True,197.25040940343547,35.359381428721385
NGC3741,compact_plummer,5,True,9.637997831574008,8.247643085832554
NGC3741,extended,5,True,11.437220210315015,8.929707418177589
NGC3741,nfw,5,True,0.7383936268785158,2.365433132396374
NGC3741,profiled_baryons,5,True,158.64526581854827,31.764690763047067
NGC3741,scalar_core,5,True,8.761498570068833,7.888760777608838
NGC3769,adaptive_primary,3,True,13.354735346430537,37.86013680391781
NGC3769,baryon_only,3,True,48.60325280611509,72.21378551841785
NGC3769,compact_plummer,3,True,13.354735346430537,37.86013680391781
NGC3769,extended,3,True,11.08481106850171,34.48666965751376
NGC3769,nfw,3,True,0.06603935358849639,2.6854015043702555
NGC3769,profiled_baryons,3,True,25.76069667348469,52.57698586452219
NGC3769,scalar_core,3,True,13.354735347981597,37.86013680611562
NGC3877,adaptive_primary,3,True,3.7955518970093656,12.036223986470473
NGC3877,baryon_only,3,True,123.318828070587,63.577969540863236
