galaxy,point_index,radius_kpc,observed_kms,sigma_kms,is_outer,is_training,training_edge_kpc,model,predicted_kms,valid_prediction,fit_failed,failure_reason,conditioning,inclination_factor,distance_ratio,residual_kms,standardized_residual,squared_standardized_error
NGC4217,16,14.86,177.0,7.25,True,False,13.12,extended,174.2836743730385,True,False,,inner_only_retrospective_prediction,0.9998410800604624,0.5683735846890565,-2.716325626961492,-0.37466560371882646,0.1403743146099927
NGC4217,16,14.86,177.0,7.25,True,False,13.12,nfw,197.0402114630681,True,False,,inner_only_retrospective_prediction,0.9998688534612276,0.7143009358161881,20.04021146306809,2.7641670983542195,7.640619747623985
NGC4217,16,14.86,177.0,7.25,True,False,13.12,profiled_baryons,143.39967745420586,True,False,,independently_profiled_baryons_inner_only_matched_priors,1.0002334171595673,1.3107826375318017,-33.60032254579414,-4.634527247695744,21.47884280963429
NGC4217,16,14.86,177.0,7.25,True,False,13.12,scalar_core,174.28367437310777,True,False,,inner_only_retrospective_prediction,0.9998410800604624,0.5683735846890565,-2.7163256268922282,-0.3746656037092729,0.14037431460283392
NGC4217,17,15.79,177.0,8.55,True,False,13.12,adaptive_primary,170.28881890589287,True,False,,conditional_inner_validation_retrospective_prediction,0.9998410800604624,0.5683735846890565,-6.711181094107133,-0.7849334612990798,0.616120538666954
NGC4217,17,15.79,177.0,8.55,True,False,13.12,baryon_only,76.80875958953315,True,False,,conditional_ablation_of_inner_fitted_core_calibration,0.9998410800604624,0.5683735846890565,-100.19124041046685,-11.718273732218345,137.31793926319844
NGC4217,17,15.79,177.0,8.55,True,False,13.12,compact_plummer,170.28881894599752,True,False,,inner_only_retrospective_prediction,0.9998410800604624,0.5683735846890565,-6.7111810540024806,-0.7849334566084772,0.6161205313033322
NGC4217,17,15.79,177.0,8.55,True,False,13.12,extended,170.28881894599752,True,False,,inner_only_retrospective_prediction,0.9998410800604624,0.5683735846890565,-6.7111810540024806,-0.7849334566084772,0.6161205313033322
NGC4217,17,15.79,177.0,8.55,True,False,13.12,nfw,199.1937022757956,True,False,,inner_only_retrospective_prediction,0.9998688534612276,0.7143009358161881,22.1937022757956,2.5957546521398362,6.737942214105602
NGC4217,17,15.79,177.0,8.55,True,False,13.12,profiled_baryons,138.84226492996527,True,False,,independently_profiled_baryons_inner_only_matched_priors,1.0002334171595673,1.3107826375318017,-38.15773507003473,-4.462892990647337,19.91741384596913
NGC4217,17,15.79,177.0,8.55,True,False,13.12,scalar_core,170.28881894606533,True,False,,inner_only_retrospective_prediction,0.9998410800604624,0.5683735846890565,-6.711181053934666,-0.7849334566005457,0.6161205312908807
NGC4217,18,16.72,178.0,12.0,True,False,13.12,adaptive_primary,166.4962282467598,True,False,,conditional_inner_validation_retrospective_prediction,0.9998410800604624,0.5683735846890565,-11.503771753240187,-0.958647646103349,0.9190053093794918
NGC4217,18,16.72,178.0,12.0,True,False,13.12,baryon_only,75.22542073430824,True,False,,conditional_ablation_of_inner_fitted_core_calibration,0.9998410800604624,0.5683735846890565,-102.77457926569176,-8.56454827214098,73.35148710583304
NGC4217,18,16.72,178.0,12.0,True,False,13.12,compact_plummer,166.4962282859373,True,False,,inner_only_retrospective_prediction,0.9998410800604624,0.5683735846890565,-11.503771714062708,-0.958647642838559,0.9190053031199253
NGC4217,18,16.72,178.0,12.0,True,False,13.12,extended,166.4962282859373,True,False,,inner_only_retrospective_prediction,0.9998410800604624,0.5683735846890565,-11.503771714062708,-0.958647642838559,0.9190053031199253
NGC4217,18,16.72,178.0,12.0,True,False,13.12,nfw,201.45802475943324,True,False,,inner_only_retrospective_prediction,0.9998688534612276,0.7143009358161881,23.458024759433243,1.954835396619437,3.8213814278762714
NGC4217,18,16.72,178.0,12.0,True,False,13.12,profiled_baryons,135.16237967498716,True,False,,independently_profiled_baryons_inner_only_matched_priors,1.0002334171595673,1.3107826375318017,-42.837620325012836,-3.5698016937510695,12.743484132708005
NGC4217,18,16.72,178.0,12.0,True,False,13.12,scalar_core,166.49622828600354,True,False,,inner_only_retrospective_prediction,0.9998410800604624,0.5683735846890565,-11.503771713996457,-0.958647642833038,0.9190053031093401
NGC4559,25,16.98,123.0,5.62,True,False,16.33,adaptive_primary,125.3106669087349,True,False,,conditional_inner_validation_retrospective_prediction,1.0002335674537022,1.1647674978926283,2.310666908734902,0.41115069550443095,0.1690448944137773
NGC4559,25,16.98,123.0,5.62,True,False,16.33,baryon_only,78.78701738646394,True,False,,conditional_ablation_of_inner_fitted_core_calibration,1.0002335674537022,1.1647674978926283,-44.212982613536056,-7.867078756856949,61.89092816658987
NGC4559,25,16.98,123.0,5.62,True,False,16.33,compact_plummer,125.14372663646192,True,False,,inner_only_retrospective_prediction,1.0002335674537022,1.1647674978926283,2.1437266364619205,0.3814460207227616,0.1455010667252295
