galaxy,model,n_outer,n_valid,fit_failed,failure_reason
UGC05986,adaptive_primary,3,3,False,
UGC05986,baryon_only,3,3,False,
UGC05986,compact_plummer,3,3,False,
UGC05986,extended,3,3,False,
UGC05986,nfw,3,3,False,
UGC05986,profiled_baryons,3,3,False,
UGC05986,scalar_core,3,3,False,
UGC06399,adaptive_primary,2,2,False,
UGC06399,baryon_only,2,2,False,
UGC06399,compact_plummer,2,2,False,
UGC06399,extended,2,2,False,
UGC06399,nfw,2,2,False,
UGC06399,profiled_baryons,2,2,False,
UGC06399,scalar_core,2,2,False,
UGC06446,adaptive_primary,4,4,False,
UGC06446,baryon_only,4,4,False,
UGC06446,compact_plummer,4,4,False,
UGC06446,extended,4,4,False,
UGC06446,nfw,4,4,False,
UGC06446,profiled_baryons,4,4,False,
UGC06446,scalar_core,4,4,False,
UGC06614,adaptive_primary,3,3,False,
UGC06614,baryon_only,3,3,False,
UGC06614,compact_plummer,3,3,False,
UGC06614,extended,3,3,False,
UGC06614,nfw,3,3,False,
UGC06614,profiled_baryons,3,3,False,
UGC06614,scalar_core,3,3,False,
UGC06667,adaptive_primary,2,2,False,
UGC06667,baryon_only,2,2,False,
UGC06667,compact_plummer,2,2,False,
UGC06667,extended,2,2,False,
UGC06667,nfw,2,2,False,
UGC06667,profiled_baryons,2,2,False,
UGC06667,scalar_core,2,2,False,
UGC06786,adaptive_primary,9,9,False,
UGC06786,baryon_only,9,9,False,
UGC06786,compact_plummer,9,9,False,
UGC06786,extended,9,9,False,
UGC06786,nfw,9,9,False,
UGC06786,profiled_baryons,9,9,False,
UGC06786,scalar_core,9,9,False,
UGC06787,adaptive_primary,15,15,False,
UGC06787,baryon_only,15,15,False,
UGC06787,compact_plummer,15,15,False,
UGC06787,extended,15,15,False,
UGC06787,nfw,15,15,False,
UGC06787,profiled_baryons,15,15,False,
UGC06787,scalar_core,15,15,False,
UGC06818,adaptive_primary,2,2,False,
UGC06818,baryon_only,2,2,False,
UGC06818,compact_plummer,2,2,False,
UGC06818,extended,2,2,False,
UGC06818,nfw,2,2,False,
UGC06818,profiled_baryons,2,2,False,
UGC06818,scalar_core,2,2,False,
UGC06917,adaptive_primary,3,3,False,
UGC06917,baryon_only,3,3,False,
UGC06917,compact_plummer,3,3,False,
