galaxy,model,T,group,Rmax_over_Rdisk,mass_fraction_first_test,mass_fraction_last,median_halo_slope_outer,mean_fractional_residual,median_fractional_residual,median_standardized_residual,last_fractional_residual,last_required_additional_enclosed_over_fitted,last_remaining_mass_over_enclosed,last_shortfall_exceeds_all_remaining_mass,last_halo_required_positive,last_spherical_same_mass_max_speed,last_observed_speed,last_quoted_error,last_capacity_margin_over_observed_squared,outer_baryon_fraction,eta,guard_active
NGC4088,variable_core,4,spiral_T1_9,8.325581395348838,0.36922398159993564,0.5329266025444435,0.38034604910669456,-0.034991005793991975,-0.04067061339095444,-0.8086831267271173,-0.06879161144091696,0.29114163382381186,0.8764310042424743,False,True,195.8619922509619,174.0,7.6,-0.2670735899232349,0.4802985554312936,2.773787928310938e-13,False
NGC4100,variable_core,4,spiral_T1_9,10.586046511627908,0.8477552529729989,0.9291683216411135,-0.24105329355317284,0.021616074357121078,0.01817625205247789,0.3226795308192704,-0.0042341456631816675,0.014646161643182241,0.07623126693964588,False,True,161.8001860330908,159.0,9.0,-0.03553262134974052,0.45346462140593935,1.3369402696353166e-19,False
NGC4157,variable_core,3,spiral_T1_9,12.76293103448276,0.5288094312018986,0.6889149368000539,0.17794184260858104,-0.019739671753917724,-0.018093527423598103,-0.3157092927790758,-0.02803270701801829,0.08648894166772615,0.4515580176631202,False,True,205.4528605440658,185.0,13.6,-0.23333463566805984,0.340627540137757,1.5740324777384504e-15,False
NGC4183,variable_core,6,spiral_T1_9,7.534050179211469,0.9910997066724365,0.998836334155952,-0.4839956367411191,-0.16071524267956677,-0.15445012645943165,-2.592831261910243,-0.21765746098648178,1.0691950309072458,0.0011650215398215646,True,True,88.43522928128986,113.0,11.5,0.3875174423968747,0.2907250971657648,3.91361358847106e-25,False
NGC4217,variable_core,3,spiral_T1_9,5.687074829931973,0.9107414537506514,0.9669431254048575,-0.33914002875182203,-0.02491385707009698,-0.021050641925679774,-0.45495538518964634,-0.05761628091436829,0.1572101410610829,0.03418698962392597,True,True,170.02715324313144,178.0,12.0,0.08757628961105615,0.19096215047637416,2.108370931726777e-17,False
NGC4559,variable_core,6,spiral_T1_9,9.985714285714284,0.9346402606079405,0.9980877585816792,-0.38004255692447586,-0.0037434476560566734,-0.00737026625458841,-0.14160196583618678,-0.01697755675405807,0.06173087035991443,0.0019159050913901687,True,True,117.04289891312274,119.0,6.13,0.032621976838678825,0.42225513785652946,5.90609307232261,False
NGC5005,variable_core,4,spiral_T1_9,1.2137566137566138,0.7584602050082945,0.9027770226125356,-0.14696652369597385,-0.04394052247443299,-0.038913251472899556,-0.4683610069204035,-0.08309994456648777,0.5409388206178997,0.10769323426742972,True,True,247.51892889601194,265.0,22.0,0.12758105857132046,0.6136036252360116,4.404613991231601e-12,False
NGC5033,variable_core,5,spiral_T1_9,8.641472868217054,0.9602076326806255,0.9923591730981246,-0.4351530789936664,-0.04626498791478441,-0.04224146128078088,-2.7034535219699762,-0.10933530884373734,0.37448138177355156,0.007699658660906827,True,True,175.03731237106038,196.0,5.0,0.2024661411369177,0.2822855842094423,1.99565179414193e-16,False
NGC5055,variable_core,4,spiral_T1_9,17.059375,0.9765523443793601,0.9981899742470192,-0.4700396820984942,-0.1341352698271738,-0.14204739338452305,-8.5527217675207,-0.16781178703522504,0.6881243551111416,0.0018133078869542185,True,True,143.2200767997232,172.0,4.84,0.3066525690062666,0.26252082420299366,5.0389489949779244e-17,False
NGC5371,variable_core,4,spiral_T1_9,6.21505376344086,1.0,1.0,-0.49999999999994493,-0.18257165278272797,-0.18152470587441938,-8.77064113662695,-0.24828845067710806,18.070032578944343,0.0,True,True,160.11456000577599,213.0,6.0,0.4349297466145774,0.6422043338589125,1.3514134064245527e-16,False
NGC5585,variable_core,7,spiral_T1_9,7.163398692810458,0.8726095533336039,0.9876203213660841,-0.30974475564909953,-0.04084437967218478,-0.03850524428017569,-2.1752618226350533,-0.06569582685810563,0.20333749808459037,0.012534856124459148,True,True,83.90074225716461,89.4,2.7,0.11924205725177961,0.25480331571069403,1.7342482040323026,False
NGC5907,variable_core,5,spiral_T1_9,9.425093632958802,0.4800491720920486,0.6144452096905323,0.25692979323754805,-0.025667934377208948,-0.022763587971714988,-1.5383472423025968,-0.023941504213117856,0.09066271740833995,0.6274844106989683,False,True,242.12522536366765,214.0,5.0,-0.280125442340092,0.4486828628316172,4.332555652329666e-13,False
NGC5985,variable_core,3,spiral_T1_9,4.9529243937232525,0.9999999999999951,0.9999999999999941,-0.5000000000010552,-0.10047178724246855,-0.09839224868827572,-7.305624465104472,-0.1439193586159185,2.9560030437222258,5.995204332975845e-15,True,True,243.9829827944633,285.0,4.0,0.26712593544741914,0.701561885521199,999.9999991493872,False
