r_over_L,u,u_prime,initial_vc_over_vs,gravity_acceleration_L_over_vs2,internal_stress_acceleration_L_over_vs2,initial_delta_vc2_over_t2,delta_vc2_t015,delta_vc2_t030,delta_vc2_over_t2_t015,delta_vc2_over_t2_t030,required_confinement_mass_over_core_mass,required_confinement_density
2.151001251564455430e+00,4.802083880854957076e-01,-3.112962098974761393e-01,8.255269667546960566e-01,-3.168267672292369164e-01,9.635142896239061450e-03,-2.389617065324134253e-03,-5.401607774517877677e-05,-2.190192520380648822e-04,-2.400714566452390175e-03,-2.433547244867387532e-03,1.679922624208454729e-02,-1.400798924605303752e-05
2.160982478097622117e+00,4.771056802461248747e-01,-3.104103442978020655e-01,8.265990620303071967e-01,-3.161830400174661659e-01,9.545646728000614298e-03,-2.347771259087878121e-03,-5.307407015864870712e-05,-2.152502187581422711e-04,-2.358847562606609157e-03,-2.391669097312692106e-03,1.679800249810544516e-02,-1.253338540395994988e-04
2.170963704630788360e+00,4.740118792360550337e-01,-3.095115303493041758e-01,8.276488578361035353e-01,-3.155292879453753252e-01,9.456286970064200353e-03,-2.306331133944661792e-03,-5.214099613835523244e-05,-2.115144783568912020e-04,-2.317377606149121586e-03,-2.350160870632124564e-03,1.679482804334650817e-02,-2.338281915420636209e-04
2.180944931163955047e+00,4.709271131925177323e-01,-3.085999891243966786e-01,8.286765059732154048e-01,-3.148656996054856605e-01,9.367079079582589160e-03,-2.265302901947626249e-03,-5.121700319770381479e-05,-2.078127095034733968e-04,-2.276311253231280609e-03,-2.309030105594148986e-03,1.678971712284612824e-02,-3.395244745268873043e-04
2.190926157697121290e+00,4.678515080469928256e-01,-3.076759414372944867e-01,8.296821589435924293e-01,-3.141924626035081380e-01,9.278038211731107210e-03,-2.224692389078701885e-03,-5.030223009714884097e-05,-2.041455554502438286e-04,-2.235654670984393161e-03,-2.268283949447153554e-03,1.678268451355542645e-02,-4.424564148735737890e-04
2.200907384230287978e+00,4.647851875283030010e-01,-3.067396077978883362e-01,8.306659699191406565e-01,-3.135097635301082319e-01,9.189179219562290668e-03,-2.184505041615146873e-03,-4.939680697943860072e-05,-2.005136243423305304e-04,-2.195413643530604465e-03,-2.227929159359228091e-03,1.677374551073726461e-02,-5.426579445105151472e-04
2.210888610763454221e+00,4.617282731663188700e-01,-3.057912083663134051e-01,8.316280927112067456e-01,-3.128177879335393152e-01,9.100516654006497730e-03,-2.144745932654088059e-03,-4.850085553478115490e-05,-1.969174898480694272e-04,-2.155593579323606800e-03,-2.187972109422993503e-03,1.676291591427941582e-02,-6.401631966246861677e-04
2.220869837296620908e+00,4.586808842956369148e-01,-3.048309629081024097e-01,8.325686817400050899e-01,-3.121167202928289419e-01,9.012064763999703965e-03,-2.105419768773545124e-03,-4.761448909812554769e-05,-1.933576915217103493e-04,-2.116199515472246516e-03,-2.148418794685670596e-03,1.675021201490404718e-02,-7.350064871649557990e-04
2.230851063829787151e+00,4.556431380591262070e-01,-3.038590907498440741e-01,8.334878920038603090e-01,-3.114067439914240953e-01,8.923837496731493180e-03,-2.066530896816968794e-03,-4.673781278986472630e-05,-1.898347353533249161e-04,-2.077236123993987920e-03,-2.109274837259165602e-03,1.673565058027503410e-02,-8.272222966433356167e-04
2.240832290362953838e+00,4.526151494126481878e-01,-3.028758107356147589e-01,8.343858790491426314e-01,-3.106880412919456602e-01,8.835848498044057697e-03,-2.028083310810033062e-03,-4.587092368856329240e-05,-1.863490943209441088e-04,-2.038707719491702174e-03,-2.070545492454934494e-03,1.671924884107608283e-02,-9.168452521994396170e-04
2.250813516896120081e+00,4.495970311306061173e-01,-3.018813411842030114e-01,8.352627989407468423e-01,-3.099607933119272740e-01,8.748111112972675740e-03,-1.990080658993162097e-03,-4.501391099619244751e-05,-1.829012088424300194e-04,-2.000618266497442184e-03,-2.032235653804777969e-03,1.670102447705936605e-02,-1.003910109949745708e-03
2.260794743429286324e+00,4.465888938113896089e-01,-3.008758998469088231e-01,8.361188082324677584e-01,-3.092251800000474504e-01,8.660638386399967595e-03,-1.952526250944670427e-03,-4.416685620091057577e-05,-1.794914874107087107e-04,-1.962971386707136785e-03,-1.994349860118985879e-03,1.668099560302912371e-02,-1.088451737652778098e-03
2.270775969962453011e+00,4.435908458827024226e-01,-2.998597038658530889e-01,8.369540639372087254e-01,-3.084813801128042932e-01,8.573443063819239859e-03,-1.915423064783957578e-03,-4.332983320381312539e-05,-1.761203071008408385e-04,-1.925770364613916793e-03,-1.956892301120453665e-03,1.665918075476521820e-02,-1.170505097690039721e-03
2.280757196495619255e+00,4.406029936078008635e-01,-2.988329697330826540e-01,8.377687234977747588e-01,-3.077295711921867460e-01,8.486537592232340152e-03,-1.878773754460001449e-03,-4.250290846466489152e-05,-1.727880141573565748e-04,-1.889018153985106254e-03,-1.919866823970628597e-03,1.663559887495074871e-02,-1.250105230340564817e-03
2.290738423028785942e+00,4.376254410927638561e-01,-2.977959132505920148e-01,8.385629447584330709e-01,-3.069699295444604514e-01,8.399934121184383234e-03,-1.842580657116614723e-03,-4.168614118375376840e-05,-1.694949246010827497e-04,-1.852717385944612025e-03,-1.883276940012030588e-03,1.661026929912583910e-02,-1.327287237355403472e-03
2.300719649561952185e+00,4.346582902935974269e-01,-2.967487494909000767e-01,8.393368859363248280e-01,-3.062026302193831540e-01,8.313644503898756297e-03,-1.806845800506559326e-03,-4.087958348984756365e-05,-1.662413247923895940e-04,-1.816870377326558397e-03,-1.847125831026551201e-03,1.658321174161235534e-02,-1.402086265863727171e-03
2.310700876095118872e+00,4.317016410232468182e-01,-2.956916927581500487e-01,8.400907055927402389e-01,-3.054278469898568660e-01,8.227680298510358162e-03,-1.771570910446339069e-03,-4.008328059717999474e-05,-1.630274720561553103e-04,-1.781479137652444223e-03,-1.811416356179503580e-03,1.655444628141951660e-02,-1.474537492607680064e-03
2.320682102628285115e+00,4.287555909592472569e-01,-2.946249565499749479e-01,8.408245626048300725e-01,-3.046457523324318517e-01,8.142052769415149965e-03,-1.736757418313259263e-03,-3.929727095241858283e-05,-1.598535952984304529e-04,-1.746545375663048150e-03,-1.776151058871449501e-03,1.652399334818058924e-02,-1.544676108492947300e-03
2.330663329161451802e+00,4.258202356525868648e-01,-2.935487535204263643e-01,8.415386161383171526e-01,-3.038565174090555043e-01,8.056772888751864009e-03,-1.702406468583942756e-03,-3.852158638093936200e-05,-1.567198956133312884e-04,-1.712070505819527320e-03,-1.741332173481458748e-03,1.649187370816953754e-02,-1.612537303451895380e-03
2.340644555694618045e+00,4.228956685363573498e-01,-2.924632954434324694e-01,8.422330256200223353e-01,-3.030603120491937030e-01,7.971851337970589299e-03,-1.668518926384401392e-03,-3.775625227233588347e-05,-1.536265469207728806e-04,-1.678055656548261632e-03,-1.706961632453032115e-03,1.645810845032230629e-02,-1.678156251648075734e-03
2.350625782227784732e+00,4.199819809343435795e-01,-2.913687931767934280e-01,8.429079507102937852e-01,-3.022573047323861006e-01,7.887298509488875620e-03,-1.635095385045723859e-03,-3.700128778397485314e-05,-1.505736966111549733e-04,-1.644501679287771250e-03,-1.673041073457277482e-03,1.642271897227732397e-02,-1.741568097017643681e-03
2.360607008760950976e+00,4.170792620699894093e-01,-2.902654566268793590e-01,8.435635512757005960e-01,-3.014476625714925251e-01,7.803124508445458303e-03,-1.602136173663640207e-03,-3.625670598950694678e-05,-1.475614661474499237e-04,-1.611409155089197623e-03,-1.639571846082777014e-03,1.638572696646961244e-02,-1.802807939140838901e-03
2.370588235294117663e+00,4.141875990767119875e-01,-2.891534947145362189e-01,8.441999873629417728e-01,-3.006315512972964621e-01,7.719339154580262194e-03,-1.569641364667771332e-03,-3.552251403801787692e-05,-1.445899517585560079e-04,-1.578778401689683551e-03,-1.606555019539511247e-03,1.634715440635411271e-02,-1.861910819435962268e-03
2.380569461827283906e+00,4.113070770079879646e-01,-2.880331153415026102e-01,8.448174191725599247e-01,-2.998091352434422707e-01,7.635951984188893774e-03,-1.537610781370062855e-03,-3.479871329713717071e-05,-1.416592250497342533e-04,-1.546609479872763275e-03,-1.573991389441491704e-03,1.630702353266604357e-02,-1.918911707698975518e-03
2.390550688360450593e+00,4.084377788474004567e-01,-2.869045253573777043e-01,8.454160070325964504e-01,-2.989805773317998905e-01,7.552972252153807194e-03,-1.506044005488075058e-03,-3.408529953723238933e-05,-1.387693336501185325e-04,-1.514902201654773004e-03,-1.541881485001317040e-03,1.626535683973545643e-02,-1.973845488983879543e-03
