analysis,split,left_model,right_model,galaxy,n_points,left_loss,right_loss,delta_left_minus_right,outcome
guard_0.001,holdout,variable_core,nfw,NGC3972,2,7.7231297410324995,0.071853136380018,7.651276604652481,right_win
guard_0.001,holdout,variable_core,nfw,NGC3992,2,0.1861632338699742,0.3967364940915942,-0.21057326022162004,left_win
guard_0.001,holdout,variable_core,nfw,NGC4010,3,20.221170418516422,6.228878256667055,13.992292161849367,right_win
guard_0.001,holdout,variable_core,nfw,NGC4013,8,0.7602545675713448,0.5341591709585889,0.2260953966127559,right_win
guard_0.001,holdout,variable_core,nfw,NGC4088,3,1.050660497936842,0.402933490336,0.6477270076008419,right_win
guard_0.001,holdout,variable_core,nfw,NGC4100,5,0.5109051566388365,3.320723469577588,-2.8098183129387513,left_win
guard_0.001,holdout,variable_core,nfw,NGC4157,4,0.0979369836474368,0.0982942889763801,-0.0003573053289432915,left_win
guard_0.001,holdout,variable_core,nfw,NGC4183,5,6.722086058725161,0.2799576397739277,6.442128418951233,right_win
guard_0.001,holdout,variable_core,nfw,NGC4217,4,0.3066585801523939,5.922182342566876,-5.615523762414481,left_win
guard_0.001,holdout,variable_core,nfw,NGC4559,7,0.0462547463997942,2.2371139202388943,-2.1908591738391,left_win
guard_0.001,holdout,variable_core,nfw,NGC5005,4,0.3790382056380545,0.0456410329835143,0.3333971726545402,right_win
guard_0.001,holdout,variable_core,nfw,NGC5033,5,8.504505632753814,12.154930160015496,-3.6504245272616824,left_win
guard_0.001,holdout,variable_core,nfw,NGC5055,6,386.9058315546805,1.5012595404274174,385.40457201425306,right_win
guard_0.001,holdout,variable_core,nfw,NGC5371,4,73.75420518567634,21.607942688273027,52.14626249740331,right_win
guard_0.001,holdout,variable_core,nfw,NGC5585,5,5.069891307187316,61.78389502508794,-56.714003717900624,left_win
guard_0.001,holdout,variable_core,nfw,NGC5907,4,2.0526287109552817,10.1746039947434,-8.121975283788117,left_win
guard_0.001,holdout,variable_core,nfw,NGC5985,7,53.01701411676076,6.954402391323581,46.06261172543718,right_win
guard_0.001,holdout,variable_core,nfw,NGC6015,9,77.67340370484949,6.384722025823645,71.28868167902584,right_win
guard_0.001,holdout,variable_core,nfw,NGC6195,5,46.62538240114257,1.970753374430864,44.65462902671171,right_win
guard_0.001,holdout,variable_core,nfw,NGC6503,7,16.7034575029902,0.9875198157051158,15.715937687285084,right_win
guard_0.001,holdout,variable_core,nfw,NGC6674,3,1.4504758797493345,2.8742070977108973,-1.4237312179615629,left_win
guard_0.001,holdout,variable_core,nfw,NGC6946,12,0.0464161462498282,0.5143566838011627,-0.4679405375513345,left_win
guard_0.001,holdout,variable_core,nfw,NGC7331,8,8.148595850323186,1.481717705446408,6.666878144876779,right_win
