x,f,f_prime,phi,phi_prime,radial_mass_integral
10.94875,5.040541368549975e-05,-5.914240376418652e-05,-0.2423737972288684,0.02213711930214499,2.653689978073697
10.95,5.033153945743418e-05,-5.905638254533552e-05,-0.2423461289885762,0.02213206545696793,2.653689978453892
10.95125,5.025777267748243e-05,-5.89704853084086e-05,-0.242318467064505,0.02212701334225269,2.653689978833059
10.9525,5.018411319125848e-05,-5.888471187721664e-05,-0.242290811454494,0.02212196295721031,2.653689979211203
10.95375,5.011056084466487e-05,-5.879906207589524e-05,-0.2422631621563843,0.02211691430105248,2.653689979588325
10.955,5.003711548360372e-05,-5.871353572857957e-05,-0.2422355191680167,0.02211186737299082,2.653689979964428
10.95625,4.996377695397745e-05,-5.862813265940512e-05,-0.2422078824872321,0.02210682217223701,2.653689980339515
10.9575,4.98905451016885e-05,-5.854285269250739e-05,-0.2421802521118714,0.02210177869800273,2.653689980713589
10.95875,4.981741977263897e-05,-5.845769565202151e-05,-0.2421526280397753,0.02209673694949961,2.653689981086651
10.96,4.97444008127313e-05,-5.837266136208301e-05,-0.2421250102687848,0.02209169692593932,2.653689981458706
10.96125,4.967148806816593e-05,-5.828774964716292e-05,-0.2420973987967421,0.02208665862653413,2.653689981829756
10.9625,4.959868138630886e-05,-5.820296033304443e-05,-0.2420697936214945,0.02208162205049868,2.653689982199803
10.96375,4.952598061481132e-05,-5.811829324583181e-05,-0.2420421947408909,0.02207658719704822,2.653689982568851
10.965,4.94533856013245e-05,-5.803374821162928e-05,-0.2420146021527799,0.02207155406539802,2.653689982936901
10.96625,4.938089619349931e-05,-5.794932505654077e-05,-0.2419870158550103,0.0220665226547633,2.653689983303956
10.9675,4.930851223898706e-05,-5.786502360667062e-05,-0.2419594358454308,0.02206149296435932,2.65368998367002
10.96875,4.923623358543866e-05,-5.778084368812275e-05,-0.2419318621218902,0.02205646499340133,2.653689984035095
10.97,4.916406008050531e-05,-5.769678512700139e-05,-0.2419042946822371,0.02205143874110456,2.653689984399183
10.97125,4.909199157213292e-05,-5.761284774974266e-05,-0.2418767335243217,0.02204641420668488,2.653689984762287
10.9725,4.902002790941986e-05,-5.752903138408036e-05,-0.2418491786459991,0.0220413913893605,2.65368998512441
10.97375,4.894816894174659e-05,-5.744533585806585e-05,-0.2418216300451259,0.02203637028835024,2.653689985485554
10.975,4.887641451849349e-05,-5.736176099975045e-05,-0.2417940877195588,0.02203135090287293,2.653689985845723
10.97625,4.880476448904068e-05,-5.727830663718516e-05,-0.2417665516671542,0.02202633323214736,2.653689986204918
10.9775,4.873321870276856e-05,-5.719497259842131e-05,-0.2417390218857688,0.02202131727539236,2.653689986563142
10.97875,4.866177700905758e-05,-5.711175871151023e-05,-0.2417114983732591,0.02201630303182675,2.653689986920398
10.98,4.859043925728781e-05,-5.702866480450293e-05,-0.2416839811274816,0.02201129050066934,2.653689987276688
10.98125,4.851920529713108e-05,-5.694569070577893e-05,-0.2416564701462943,0.02200627968113954,2.653689987632016
10.9825,4.844807497939908e-05,-5.686283624500156e-05,-0.2416289654275601,0.02200127057245913,2.653689987986383
10.98375,4.837704815518175e-05,-5.678010125214748e-05,-0.2416014669691435,0.02199626317385046,2.653689988339792
10.985,4.830612467556947e-05,-5.669748555719377e-05,-0.2415739747689087,0.02199125748453593,2.653689988692246
10.98625,4.823530439165218e-05,-5.661498899011711e-05,-0.2415464888247202,0.02198625350373787,2.653689989043748
10.9875,4.816458715452014e-05,-5.653261138089449e-05,-0.2415190091344423,0.02198125123067865,2.653689989394299
10.98875,4.809397281526359e-05,-5.64503525595029e-05,-0.2414915356959395,0.02197625066458066,2.653689989743902
10.99,4.802346122497249e-05,-5.636821235591898e-05,-0.2414640685070758,0.02197125180466623,2.653689990092561
10.99125,4.795305223502523e-05,-5.628619060044435e-05,-0.2414366075657172,0.02196625465015834,2.653689990440277
10.9925,4.788274569792732e-05,-5.620428712465021e-05,-0.2414091528697344,0.02196125920028229,2.653689990787053
10.99375,4.781254146645939e-05,-5.612250176041771e-05,-0.2413817044169995,0.02195626545426398,2.653689991132891
