theta_radians,theta_over_pi_half,lambda_min_B_over_E,lambda_max_B_over_E,D_matrix,D_formula,E_s_over_E,E_a_over_E,virial_over_E,entropy_change
4.7516588885545624e-01,3.0250000000000005e-01,5.5391578982157796e-02,9.4460842101784226e-01,1.3953435943410164e+00,1.3953435943410164e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,2.1409431809308388e-01
4.7909287967244352e-01,3.0500000000000005e-01,5.6293276470358401e-02,9.4370672352964147e-01,1.3927938012672432e+00,1.3927938012672432e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,2.1664411116685711e-01
4.8301987048943074e-01,3.0750000000000005e-01,5.7201816465127092e-02,9.4279818353487288e-01,1.3902401386667300e+00,1.3902401386667300e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,2.1919777376737026e-01
4.8694686130641796e-01,3.1000000000000000e-01,5.8117184955653281e-02,9.4188281504434679e-01,1.3876827619458834e+00,1.3876827619458834e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,2.2175515048821692e-01
4.9087385212340523e-01,3.1250000000000006e-01,5.9039367825822503e-02,9.4096063217417747e-01,1.3851218254658901e+00,1.3851218254658904e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,2.2431608696821015e-01
4.9480084294039245e-01,3.1500000000000000e-01,5.9968350854434027e-02,9.4003164914556603e-01,1.3825574825566496e+00,1.3825574825566496e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,2.2688042987745072e-01
4.9872783375737972e-01,3.1750000000000006e-01,6.0904119715420410e-02,9.3909588028457958e-01,1.3799898855303252e+00,1.3799898855303252e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,2.2944802690377508e-01
5.0265482457436694e-01,3.2000000000000001e-01,6.1846659978068215e-02,9.3815334002193174e-01,1.3774191856945381e+00,1.3774191856945381e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,2.3201872673956214e-01
5.0658181539135416e-01,3.2250000000000001e-01,6.2795957107240563e-02,9.3720404289275949e-01,1.3748455333652041e+00,1.3748455333652041e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,2.3459237906889618e-01
5.1050880620834138e-01,3.2500000000000001e-01,6.3751996463601426e-02,9.3624800353639859e-01,1.3722690778790305e+00,1.3722690778790305e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,2.3716883455506976e-01
5.1443579702532871e-01,3.2750000000000007e-01,6.4714763303841266e-02,9.3528523669615882e-01,1.3696899676056840e+00,1.3696899676056840e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,2.3974794482841633e-01
5.1836278784231593e-01,3.3000000000000002e-01,6.5684242780904400e-02,9.3431575721909554e-01,1.3671083499596368e+00,1.3671083499596368e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,2.4232956247446347e-01
5.2228977865930315e-01,3.3250000000000002e-01,6.6660419944217925e-02,9.3333958005578210e-01,1.3645243714117044e+00,1.3645243714117044e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,2.4491354102239593e-01
5.2621676947629037e-01,3.3500000000000002e-01,6.7643279739922471e-02,9.3235672026007754e-01,1.3619381775002810e+00,1.3619381775002810e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,2.4749973493381927e-01
5.3014376029327759e-01,3.3750000000000002e-01,6.8632807011104066e-02,9.3136719298889592e-01,1.3593499128422866e+00,1.3593499128422866e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,2.5008799959181371e-01
5.3407075111026492e-01,3.4000000000000008e-01,6.9628986498028206e-02,9.3037101350197182e-01,1.3567597211438285e+00,1.3567597211438285e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,2.5267819129027180e-01
5.3799774192725214e-01,3.4250000000000003e-01,7.0631802838374724e-02,9.2936819716162522e-01,1.3541677452105927e+00,1.3541677452105927e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,2.5527016722350759e-01
5.4192473274423936e-01,3.4500000000000003e-01,7.1641240567475187e-02,9.2835875943252488e-01,1.3515741269579677e+00,1.3515741269579677e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,2.5786378547613253e-01
5.4585172356122658e-01,3.4750000000000003e-01,7.2657284118551047e-02,9.2734271588144901e-01,1.3489790074209105e+00,1.3489790074209105e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,2.6045890501318980e-01
5.4977871437821380e-01,3.4999999999999998e-01,7.3679917822953855e-02,9.2632008217704609e-01,1.3463825267635645e+00,1.3463825267635645e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,2.6305538567053577e-01
5.5370570519520113e-01,3.5250000000000004e-01,7.4709125910406904e-02,9.2529087408959310e-01,1.3437848242886334e+00,1.3437848242886334e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,2.6565308814546684e-01
5.5763269601218834e-01,3.5500000000000004e-01,7.5744892509248193e-02,9.2425510749075179e-01,1.3411860384465222e+00,1.3411860384465222e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,2.6825187398757810e-01
5.6155968682917556e-01,3.5750000000000004e-01,7.6787201646675463e-02,9.2321279835332448e-01,1.3385863068442458e+00,1.3385863068442458e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,2.7085160558985444e-01
5.6548667764616278e-01,3.5999999999999999e-01,7.7836037248992490e-02,9.2216396275100754e-01,1.3359857662541201e+00,1.3359857662541201e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,2.7345214617998015e-01
5.6941366846315000e-01,3.6249999999999999e-01,7.8891383141856730e-02,9.2110861685814327e-01,1.3333845526222348e+00,1.3333845526222348e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,2.7605335981186552e-01
5.7334065928013733e-01,3.6500000000000005e-01,7.9953223050529071e-02,9.2004677694947090e-01,1.3307828010767171e+00,1.3307828010767171e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,2.7865511135738319e-01
5.7726765009712455e-01,3.6750000000000005e-01,8.1021540600124481e-02,9.1897845939987544e-01,1.3281806459357957e+00,1.3281806459357957e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,2.8125726649830463e-01
5.8119464091411177e-01,3.7000000000000005e-01,8.2096319315864877e-02,9.1790368068413519e-01,1.3255782207156608e+00,1.3255782207156608e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,2.8385969171843950e-01
5.8512163173109899e-01,3.7250000000000000e-01,8.3177542623332767e-02,9.1682245737666723e-01,1.3229756581381389e+00,1.3229756581381389e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,2.8646225429596139e-01
