z,virial_over_E,sharp_lower_bound,local_quadratic
2.4399999999999999e-01,2.2439999999999998e+00,5.4112158525513973e-02,5.0700000000000016e-02
2.4600000000000000e-01,2.2460000000000000e+00,5.2672164695822282e-02,4.9408333333333353e-02
2.4800000000000000e-01,2.2480000000000002e+00,5.1253736253873569e-02,4.8133333333333347e-02
2.5000000000000000e-01,2.2500000000000000e+00,4.9856756174223443e-02,4.6875000000000014e-02
2.5200000000000000e-01,2.2519999999999998e+00,4.8481109604898778e-02,4.5633333333333352e-02
2.5400000000000000e-01,2.2540000000000000e+00,4.7126683818041304e-02,4.4408333333333348e-02
2.5600000000000001e-01,2.2560000000000002e+00,4.5793368162132059e-02,4.3200000000000009e-02
2.5800000000000001e-01,2.2580000000000000e+00,4.4481054015733726e-02,4.2008333333333349e-02
2.6000000000000001e-01,2.2599999999999998e+00,4.3189634742693037e-02,4.0833333333333340e-02
2.6200000000000001e-01,2.2620000000000000e+00,4.1919005648748772e-02,3.9675000000000009e-02
2.6400000000000001e-01,2.2640000000000002e+00,4.0669063939489505e-02,3.8533333333333343e-02
2.6600000000000001e-01,2.2660000000000000e+00,3.9439708679611774e-02,3.7408333333333342e-02
2.6800000000000002e-01,2.2679999999999998e+00,3.8230840753431333e-02,3.6300000000000006e-02
2.7000000000000002e-01,2.2700000000000000e+00,3.7042362826598160e-02,3.5208333333333341e-02
2.7200000000000002e-01,2.2720000000000002e+00,3.5874179308973020e-02,3.4133333333333335e-02
2.7400000000000002e-01,2.2740000000000000e+00,3.4726196318623864e-02,3.3075000000000007e-02
2.7600000000000002e-01,2.2759999999999998e+00,3.3598321646899132e-02,3.2033333333333330e-02
2.7800000000000002e-01,2.2780000000000000e+00,3.2490464724541007e-02,3.1008333333333336e-02
2.8000000000000003e-01,2.2800000000000002e+00,3.1402536588802266e-02,3.0000000000000002e-02
2.8200000000000003e-01,2.2820000000000000e+00,3.0334449851529055e-02,2.9008333333333334e-02
2.8400000000000003e-01,2.2839999999999998e+00,2.9286118668177125e-02,2.8033333333333330e-02
2.8600000000000003e-01,2.2860000000000000e+00,2.8257458707729735e-02,2.7074999999999995e-02
2.8800000000000003e-01,2.2880000000000003e+00,2.7248387123484208e-02,2.6133333333333331e-02
2.8999999999999998e-01,2.2900000000000000e+00,2.6258822524678357e-02,2.5208333333333357e-02
2.9199999999999998e-01,2.2919999999999998e+00,2.5288684948929399e-02,2.4300000000000023e-02
2.9399999999999998e-01,2.2940000000000000e+00,2.4337895835455259e-02,2.3408333333333350e-02
