tau,E_s_over_E0,E_a_over_E0,E_over_E0,z,virial_over_E0,virial_over_E,numerical_logZ_derivative,BKM_speed_squared,D_to_uniform,entropy_lower_bound,D_to_reference,cone_direct_over_E0,cone_closed_over_E0,cone_partition_part_over_E0,cone_radial_part_over_E0
-2.0200000000000000e+00,1.4077977932498714e-02,4.6688017750582664e-04,1.4544858110004539e-02,3.2099328434471809e-02,2.9556596397514911e-02,2.0320993284344722e+00,2.0320993284344002e+00,3.1068961548527719e-02,3.8187521100818078e-01,3.8187521100818073e-01,1.2567709888696099e-01,9.2575081716701535e-01,9.2575081716701535e-01,1.8279555709878571e-03,9.2392286159602754e-01
-2.0099999999999998e+00,1.4362371951602292e-02,4.8109879572390236e-04,1.4843470747326195e-02,3.2411475989236840e-02,3.0168040290376293e-02,2.0324114759892367e+00,2.0324114759886491e+00,3.1360972213435964e-02,3.8094007266577912e-01,3.8094007266577917e-01,1.2504812399752882e-01,9.2451876826901747e-01,9.2451876826901747e-01,1.8561481705653379e-03,9.2266262009845212e-01
-2.0000000000000000e+00,1.4652511110987341e-02,4.9575043533327170e-04,1.5148261546320613e-02,3.2726556365386059e-02,3.0792273527974499e-02,2.0327265563653860e+00,2.0327265563651795e+00,3.1655528873849266e-02,3.7999929891625922e-01,3.7999929891625928e-01,1.2441639029798610e-01,9.2326719139773039e-01,9.2326719139773039e-01,1.8846920208829999e-03,9.2138249937684735e-01
-1.9900000000000000e+00,1.4948511470186219e-02,5.1084828379859969e-04,1.5459359753984820e-02,3.3044595114420761e-02,3.1429567791768240e-02,2.0330445951144207e+00,2.0330445951139233e+00,3.1952649848144762e-02,3.7905287237929597e-01,3.7905287237929630e-01,1.2378190546966734e-01,9.2199580034039641e-01,9.2199580034039641e-01,1.9135890076893288e-03,9.2008221133270707e-01
-1.9800000000000000e+00,1.5250491433289309e-02,5.2640593020264015e-04,1.5776897363491950e-02,3.3365617971297307e-02,3.2080200657186538e-02,2.0333656179712971e+00,2.0333656179708872e+00,3.2252353508690747e-02,3.7810077589701391e-01,3.7810077589701424e-01,1.2314467759629520e-01,9.2070430533527869e-01,9.2070430533527869e-01,1.9428409392970559e-03,9.1876146439598161e-01
-1.9700000000000000e+00,1.5558571796308311e-02,5.4243737747732869e-04,1.6101009173785638e-02,3.3689650854958918e-02,3.2744455725048610e-02,2.0336896508549591e+00,2.0336896508539315e+00,3.2554658280229881e-02,3.7714299253975359e-01,3.7714299253975331e-01,1.2250471517026776e-01,9.1939241304786856e-01,9.1939241304786856e-01,1.9724495427884776e-03,9.1741996350508015e-01
-1.9600000000000000e+00,1.5872875795496233e-02,5.5895705500736879e-04,1.6431832850503598e-02,3.4016719868851270e-02,3.3422622756014569e-02,2.0340167198688515e+00,2.0340167198685442e+00,3.2859582638215368e-02,3.7617950561190927e-01,3.7617950561190927e-01,1.2186202709900293e-01,9.1805982654770779e-01,9.1805982654770779e-01,2.0024164601143563e-03,9.1605741008759356e-01
-1.9500000000000000e+00,1.6193529156643516e-02,5.7597983161764867e-04,1.6769508988261163e-02,3.4346851301420976e-02,3.4114997808139980e-02,2.0343468513014211e+00,2.0343468513012533e+00,3.3167145107099054e-02,3.7521029865785055e-01,3.7521029865785038e-01,1.2121662271134720e-01,9.1670624528586586e-01,9.1670624528586586e-01,2.0327432440845989e-03,9.1467350204178133e-01
-1.9399999999999999e+00,1.6520660145370052e-02,5.9352102895618886e-04,1.7114181174326244e-02,3.4680071626596809e-02,3.4821883377608671e-02,2.0346800716265965e+00,2.0346800716262159e+00,3.3477364258570924e-02,3.7423535546790976e-01,3.7423535546790987e-01,1.2056851176403693e-01,9.1533136507311297e-01,9.1533136507311297e-01,2.0634313542486132e-03,9.1326793371886428e-01
-1.9299999999999999e+00,1.6854399618433144e-02,6.1159643528466145e-04,1.7465996053717806e-02,3.5016407504253229e-02,3.5543588542720272e-02,2.0350164075042532e+00,2.0350164075035870e+00,3.3790258709749305e-02,3.7325466008445329e-01,3.7325466008445313e-01,1.1991770444822317e-01,9.1393487805883211e-01,9.1393487805883211e-01,2.0944821526635640e-03,9.1184039590616850e-01
