augmented,baseline,fit_mode,region,galaxy,augmented_loss,baseline_loss,augmented_rms_kms,baseline_rms_kms
A_core,bar_fixed,inner,outer,UGC05764,0.2140987675351302,110.60747692031114,1.2263940897006793,28.491229862291735
A_core,bar_fixed,inner,outer,UGC05829,3.587655002843455,32.494885102299456,9.584199686505006,28.844168218293873
A_core,bar_fixed,inner,outer,UGC05918,2.0925518164960724,38.97149762066586,5.6850025110460765,24.533872168930493
A_core,bar_fixed,inner,outer,UGC05986,0.18948090889095404,197.13350496734776,1.9639767973775584,65.11723247974149
A_core,bar_fixed,inner,outer,UGC06399,1.0057216783004324,95.39590396761679,4.913998117215083,47.85870510432224
A_core,bar_fixed,inner,outer,UGC06446,3.201639162332697,52.41110867074167,11.706662178946663,46.379579522174694
A_core,bar_fixed,inner,outer,UGC06614,0.2480008824885164,40.98716836773905,7.967955479916482,104.36436819064973
A_core,bar_fixed,inner,outer,UGC06667,2.8583874498149306,301.8242071833546,5.574048878785555,55.34239797993353
A_core,bar_fixed,inner,outer,UGC06786,415.82952327780345,4524.0438608253135,49.503806144415066,128.67467909578227
A_core,bar_fixed,inner,outer,UGC06787,541.5281567775022,2594.4796764735024,66.19280161122686,139.30860658167785
A_core,bar_fixed,inner,outer,UGC06818,2.9351794517085077,42.120061146617616,10.279419257015753,38.93998204003482
A_core,bar_fixed,inner,outer,UGC06917,4.62390229023895,128.48878820139018,11.30510808096312,54.394653370358284
A_core,bar_fixed,inner,outer,UGC06930,3.4427249687653623,51.215257701725335,13.730390354596306,52.95797873546987
A_core,bar_fixed,inner,outer,UGC06983,1.2897216888430854,34.095499136597965,11.883022857773277,57.95911132004832
A_core,bar_fixed,inner,outer,UGC07089,0.7812549165354365,29.09914121904058,5.957027875084567,34.98691022104956
A_core,bar_fixed,inner,outer,UGC07125,1.857322277747939,51.01534660731701,4.622147080412976,23.277501386048275
A_core,bar_fixed,inner,outer,UGC07151,7.902087244735757,92.69360383520946,9.120861186804975,31.358515960840077
