galaxy,ml_disk,ml_bulge,n,Q,D_Mpc,inclination_deg,refs,baryon_invalid_rows,baryon_chi2_valid,baryon_chi2_per_valid_row,core_length_kpc,core_amplitude_kms,core_excess_amplitude_kms,core_admissible_min_amplitude_kms,core_chi2,core_reduced_chi2,core_dof,core_success,core_optimality,core_bound_hit,core_bound_distance_log,core_restart_chi2_spread,core_near_best_starts,nfw_length_kpc,nfw_amplitude_kms,nfw_excess_amplitude_kms,nfw_admissible_min_amplitude_kms,nfw_chi2,nfw_reduced_chi2,nfw_dof,nfw_success,nfw_optimality,nfw_bound_hit,nfw_bound_distance_log,nfw_restart_chi2_spread,nfw_near_best_starts
ESO563-G021,0.5,0.7,30,1,60.8,83.0,SG06,0,7372.027061257691,245.73423537525636,6.929834788890412,345.7995603159947,345.7995603159947,0.0,342.680738990525,12.23859782109018,28,True,0.0006809158437020615,False,2.160508265899855,1.0834355634870008e-10,9,39.0606025018239,649.2707747633316,649.2707747633316,0.0,577.7054771752343,20.63233847054408,28,True,0.0004981872209278364,False,1.5305177195240809,1.9281287677586079e-10,9
F565-V2,0.5,0.7,7,2,51.8,60.0,"dB97,dB96",0,302.9964339919946,43.285204855999226,3.2010655327795643,88.25128254964012,88.25128254964012,0.0,0.28642807375216534,0.05728561475043307,5,True,6.416824502349991e-08,False,3.526179338802047,5.773159728050814e-15,9,499.9999999999994,853.0343469852847,853.0343469852847,0.0,1.874058268349933,0.3748116536699866,5,True,3.218660748360578e-07,True,8.881784197001252e-16,2.220446049250313e-15,9
F568-3,0.5,0.7,18,1,82.4,40.0,"KN08,dB96",0,531.5581999834988,29.531011110194374,3.9624989837632003,113.8976755569542,113.8976755569542,0.0,14.792389038559726,0.9245243149099829,16,True,1.1681280153783712e-05,False,3.271067105158167,6.910028105266974e-13,9,499.9999999999088,840.5107293909541,840.5107293909541,0.0,51.55475684427587,3.222172302767242,16,True,1.7983981287221188e-08,True,1.8207657603852567e-13,6.579625733138528e-12,9
F568-V1,0.5,0.7,15,1,80.6,40.0,"dB01,dB96",0,683.7108622397138,45.58072414931426,2.4752905254695396,130.5414168763389,130.5414168763389,0.0,6.2676271044776435,0.48212516188289567,13,True,3.774239513358072e-05,False,3.1346770205390104,4.559019828320743e-12,9,8.012882412797529,244.55671242722488,244.55671242722488,0.0,2.8239208057120173,0.21722467736246287,13,True,1.2313926936156505e-06,False,2.5069203329645937,2.4513724383723456e-13,9
F571-8,0.5,0.7,13,1,53.3,85.0,"dB01,dB96",0,2150.8652042646213,165.451169558817,5.3552014282797895,163.59157132561,163.59157132561,0.0,105.44605666256021,9.586005151141837,11,True,6.536945556802488e-05,False,2.9089946648234095,1.0516032489249483e-11,9,499.99999999900064,1196.6962263870212,1196.6962263870212,0.0,212.1781287798678,19.288920798169798,11,True,2.0292590283146925e-05,True,1.9984014443252818e-12,9.066525308298878e-12,9
F571-V1,0.5,0.7,7,2,80.1,30.0,"dB97,dB96",0,279.02710961673114,39.86101565953302,3.992257425933586,89.04393453762125,89.04393453762125,0.0,0.5056916744014469,0.10113833488028938,5,True,9.082917690771346e-07,False,3.5172376732313246,5.828670879282072e-14,9,26.163227653149235,206.31067491898972,206.31067491898972,0.0,1.5938606361574963,0.3187721272314993,5,True,5.879721346511992e-07,False,2.676984404272922,7.704947790898586e-13,9
F574-1,0.5,0.7,14,1,96.8,65.0,"dB01,dB96",0,1580.480826541699,112.89148761012135,2.8385463572560985,106.1065272196012,106.1065272196012,0.0,10.77600273714466,0.8980002280953884,12,True,4.3851207619237894e-05,False,3.341924004416418,4.5350390109888394e-12,9,15.908202344000122,221.93468996528395,221.93468996528395,0.0,19.724679151940602,1.6437232626617169,12,True,3.944893713945184e-05,False,2.603984418405709,9.606537787476555e-12,9
F583-1,0.5,0.7,25,1,35.4,63.0,"KN08,dB96",0,1264.951525439907,50.59806101759628,3.244912619572494,93.43786489053578,93.43786489053578,0.0,7.9557366486248275,0.34590159341847077,23,True,3.170533041824988e-05,False,3.469070898889874,4.2659209498197015e-12,9,29.881478220035778,226.1532509405277,226.1532509405277,0.0,35.95753615282367,1.56337113707929,23,True,7.071874661816348e-05,False,2.5851546966781447,7.951683755891281e-11,9
F583-4,0.5,0.7,12,1,53.3,55.0,"KN08,dB96",0,458.72334893944765,38.22694574495397,2.236939902558028,66.68155073481284,66.68155073481284,0.0,10.750352516093406,1.0750352516093407,10,True,9.147033588542191e-05,False,3.8064392536671594,1.993250009491021e-11,9,27.448183598254577,197.03884253239528,197.03884253239528,0.0,1.517128456645259,0.1517128456645259,10,True,4.998510334568077e-06,False,2.722966688132545,2.611244553918368e-13,9
IC2574,0.5,0.7,34,2,3.91,75.0,"Sa96,MC94",0,13829.857075531063,406.76050222150184,4.976822409923699,68.81630578226988,68.81630578226988,0.0,113.18735850634577,3.5371049533233054,32,True,0.00012140412021713667,False,3.7749268481423677,4.236255790601717e-11,9,499.9999999999679,493.27203629944256,493.27203629944256,0.0,1093.2454640688654,34.163920752152045,32,True,3.6033884239278443e-06,True,6.394884621840902e-14,3.951754479203373e-10,9
