galaxy,point_index,model,abs_z,weight,cumulative_weight
NGC6195,20,extended,4.282532160237629,0.0015267175572519084,0.8375758769386338
ESO563-G021,25,extended,4.306043333948059,0.001272264631043257,0.838848141569677
UGC00128,18,extended,4.390728211733755,0.0015267175572519084,0.8403748591269289
IC4202,30,extended,4.40532218739313,0.0010905125408942203,0.8414653716678231
UGC02953,102,extended,4.407075218891952,0.00033189512114171923,0.8417972667889648
NGC1003,34,extended,4.413796230718398,0.0009541984732824427,0.8427514652622473
DDO168,9,extended,4.458046052149629,0.003816793893129771,0.846568259155377
NGC1003,32,extended,4.469366346929145,0.0009541984732824427,0.8475224576286595
NGC2903,32,extended,4.506162721328586,0.0010905125408942203,0.8486129701695537
NGC6503,27,extended,4.5682192975984535,0.0010905125408942203,0.8497034827104479
NGC2403,69,extended,4.612039039728426,0.0005089058524173028,0.8502123885628652
NGC1003,33,extended,4.620313505279721,0.0009541984732824427,0.8511665870361477
UGC02953,99,extended,4.651052309872759,0.00033189512114171923,0.8514984821572894
UGC02953,107,extended,4.668078922533876,0.00033189512114171923,0.8518303772784311
UGC09133,61,extended,4.673050521878808,0.0005452562704471102,0.8523756335488782
KK98-251,14,extended,4.691198257104549,0.002544529262086514,0.8549201628109647
ESO563-G021,28,extended,4.72687023325702,0.001272264631043257,0.856192427442008
UGC06786,40,extended,4.738371581821135,0.0008481764206955047,0.8570406038627034
UGC02953,106,extended,4.742885564483598,0.00033189512114171923,0.8573724989838452
UGC09133,62,extended,4.756184290414934,0.0005452562704471102,0.8579177552542923
NGC0300,21,extended,4.79292437913938,0.0015267175572519084,0.8594444728115441
NGC3198,36,extended,4.9110395928934025,0.0008481764206955047,0.8602926492322396
UGC09133,60,extended,4.931972091063238,0.0005452562704471102,0.8608379055026867
NGC6015,41,extended,5.016877173719531,0.0008481764206955047,0.8616860819233821
NGC2403,59,extended,5.070527968418248,0.0005089058524173028,0.8621949877757994
UGC06786,43,extended,5.119399142980168,0.0008481764206955047,0.8630431641964948
NGC5371,15,extended,5.159042860416179,0.0019083969465648854,0.8649515611430597
UGC02487,13,extended,5.162707660322599,0.0019083969465648854,0.8668599580896246
NGC5985,26,extended,5.175939384847428,0.0010905125408942203,0.8679504706305188
NGC2998,12,extended,5.202570733640367,0.002544529262086514,0.8704949998926053
NGC2403,64,extended,5.203218821274678,0.0005089058524173028,0.8710039057450225
ESO563-G021,29,extended,5.205416753929679,0.001272264631043257,0.8722761703760658
CamB,8,extended,5.209163789104345,0.003816793893129771,0.8760929642691955
UGC11557,10,extended,5.284672587454981,0.002544529262086514,0.878637493531282
UGC02953,97,extended,5.33001960793407,0.00033189512114171923,0.8789693886524237
UGC06786,38,extended,5.344295768460221,0.0008481764206955047,0.8798175650731191
ESO563-G021,26,extended,5.516532285280604,0.001272264631043257,0.8810898297041624
NGC1003,35,extended,5.557970380238197,0.0009541984732824427,0.8820440281774449
NGC6015,42,extended,5.65710902696831,0.0008481764206955047,0.8828922045981403
NGC2403,70,extended,5.698236103723651,0.0005089058524173028,0.8834011104505576
NGC2841,42,extended,5.8333769379546005,0.0007633587786259542,0.8841644692291836
ESO079-G014,14,extended,5.876421012873688,0.002544529262086514,0.88670899849127
ESO563-G021,27,extended,5.885900700542386,0.001272264631043257,0.8879812631223133
UGC09133,57,extended,5.921015868315803,0.0005452562704471102,0.8885265193927604
UGC02487,14,extended,6.016038796625419,0.0019083969465648854,0.8904349163393253
NGC2403,71,extended,6.095702823306988,0.0005089058524173028,0.8909438221917425
NGC5055,27,extended,6.175944480894319,0.001272264631043257,0.8922160868227857
UGC02953,108,extended,6.19174162462407,0.00033189512114171923,0.8925479819439275
NGC0024,25,extended,6.19278476382248,0.001272264631043257,0.8938202465749707
UGC05253,69,extended,6.33067721988097,0.0005089058524173028,0.894329152427388
NGC7793,43,extended,6.38974068534768,0.0007633587786259542,0.895092511206014
NGC0024,27,extended,6.3978395004867314,0.001272264631043257,0.8963647758370572
NGC2403,65,extended,6.401873043576674,0.0005089058524173028,0.8968736816894745
NGC6195,21,extended,6.560197038912851,0.0015267175572519084,0.8984003992467263
NGC0300,20,extended,6.691726071217545,0.0015267175572519084,0.8999271168039782
DDO170,7,extended,6.693260131159775,0.003816793893129771,0.9037439106971079
UGCA442,7,extended,6.7144631347752055,0.003816793893129771,0.9075607045902376
UGC11820,9,extended,6.798843102475241,0.003816793893129771,0.9113774984833674
UGC03205,41,extended,6.805129608568224,0.0007633587786259542,0.9121408572619933
NGC3198,37,extended,6.87917788605327,0.0008481764206955047,0.9129890336826888
NGC4010,11,extended,6.889292121657831,0.002544529262086514,0.9155335629447753
NGC5985,29,extended,6.966059093970927,0.0010905125408942203,0.9166240754856695
UGC11820,8,extended,7.003129335045929,0.003816793893129771,0.9204408693787992
UGC08699,39,extended,7.044419661226736,0.0008481764206955047,0.9212890457994947
NGC6015,38,extended,7.066429872503713,0.0008481764206955047,0.9221372222201901
UGC02953,109,extended,7.225003589101285,0.00033189512114171923,0.9224691173413319
NGC0801,11,extended,7.454461519473712,0.002544529262086514,0.9250136466034183
NGC2841,48,extended,7.489890460301274,0.0007633587786259542,0.9257770053820443
IC4202,31,extended,7.5449254779961565,0.0010905125408942203,0.9268675179229385
NGC5985,30,extended,7.581209535702726,0.0010905125408942203,0.9279580304638327
UGC03580,40,extended,7.584225228779823,0.0007633587786259542,0.9287213892424587
NGC5371,16,extended,7.615084274601031,0.0019083969465648854,0.9306297861890236
UGC05253,70,extended,7.623604865753593,0.0005089058524173028,0.9311386920414408
UGC11557,11,extended,7.698279591850906,0.002544529262086514,0.9336832213035273
UGC06786,39,extended,7.704547638773309,0.0008481764206955047,0.9345313977242228
UGC08699,40,extended,7.847069654543641,0.0008481764206955047,0.9353795741449182
UGC03205,42,extended,7.918084990322523,0.0007633587786259542,0.9361429329235442
NGC5371,18,extended,7.972729756256712,0.0019083969465648854,0.9380513298701091
IC4202,29,extended,8.04733259378085,0.0010905125408942203,0.9391418424110033
NGC2841,44,extended,8.059947359933851,0.0007633587786259542,0.9399052011896293
NGC2841,43,extended,8.077536437102173,0.0007633587786259542,0.9406685599682553
NGC2841,46,extended,8.145141367894094,0.0007633587786259542,0.9414319187468813
NGC5055,26,extended,8.183813177616203,0.001272264631043257,0.9427041833779245
NGC3198,38,extended,8.223978196264014,0.0008481764206955047,0.94355235979862
NGC3198,41,extended,8.408128377352773,0.0008481764206955047,0.9444005362193154
NGC2841,47,extended,8.466269683392195,0.0007633587786259542,0.9451638949979414
NGC2403,63,extended,8.46784976670504,0.0005089058524173028,0.9456728008503587
NGC2841,49,extended,8.656034622234642,0.0007633587786259542,0.9464361596289846
UGC02953,112,extended,8.743325254487983,0.00033189512114171923,0.9467680547501264
UGC02953,101,extended,8.806462083297353,0.00033189512114171923,0.9470999498712681
NGC5371,17,extended,8.95323169792124,0.0019083969465648854,0.949008346817833
NGC3198,42,extended,8.966029101303088,0.0008481764206955047,0.9498565232385284
NGC2841,45,extended,9.003562014405697,0.0007633587786259542,0.9506198820171544
UGC08699,37,extended,9.081607170671564,0.0008481764206955047,0.9514680584378499
NGC7793,45,extended,9.086006409228698,0.0007633587786259542,0.9522314172164759
NGC5985,31,extended,9.110649405233096,0.0010905125408942203,0.9533219297573701
UGC09133,59,extended,9.137590110677998,0.0005452562704471102,0.9538671860278172
UGC06787,56,extended,9.343718357683214,0.0005089058524173028,0.9543760918802344
NGC5055,25,extended,9.581827391638368,0.001272264631043257,0.9556483565112777
UGC08699,38,extended,9.685132058215771,0.0008481764206955047,0.9564965329319731
UGC02953,111,extended,9.713166742992437,0.00033189512114171923,0.9568284280531149
UGC03205,43,extended,9.731729530485913,0.0007633587786259542,0.9575917868317408
NGC5985,32,extended,9.778720634503102,0.0010905125408942203,0.958682299372635
UGC02953,110,extended,9.803527081851136,0.00033189512114171923,0.9590141944937768
NGC7793,44,extended,9.90573759770156,0.0007633587786259542,0.9597775532724028
NGC0024,26,extended,9.912497900362592,0.001272264631043257,0.961049817903446
NGC3198,39,extended,10.01187631168638,0.0008481764206955047,0.9618979943241415
UGC02953,100,extended,10.042272357910344,0.00033189512114171923,0.9622298894452832
NGC2403,72,extended,10.230530640684496,0.0005089058524173028,0.9627387952977005
UGC02953,113,extended,10.962066673028172,0.00033189512114171923,0.9630706904188422
UGC09133,58,extended,10.969080024834929,0.0005452562704471102,0.9636159466892893
NGC6195,22,extended,11.014553186607548,0.0015267175572519084,0.9651426642465412
NGC3198,40,extended,11.631875008270685,0.0008481764206955047,0.9659908406672366
UGC03205,47,extended,11.6674853903238,0.0007633587786259542,0.9667541994458626
UGC06787,57,extended,11.77300584897083,0.0005089058524173028,0.9672631052982799
UGC09133,65,extended,11.838923016793222,0.0005452562704471102,0.967808361568727
UGC03580,41,extended,11.86573823440158,0.0007633587786259542,0.968571720347353
NGC6015,39,extended,12.381546956196829,0.0008481764206955047,0.9694198967680484
NGC5055,24,extended,12.464196353302372,0.001272264631043257,0.9706921613990916
